* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Applied Biosystems\StepOne Software v2.3\experiments\Lardelli\New Folder\KB_20230821_salbutamolExp1_2_nagluhomxhet7m_genotyping.eds
* Experiment Run End Time = 2023-08-21 10:16:59 AM PDT
* Instrument Type = steponeplus
* Passive Reference = 

[Amplification Data]
Well	Cycle	Target Name	Rn	ΔRn
A1	1	naglu	27946.5391	-947.7451
A1	2	naglu	29842.0293	947.7451
A1	3	naglu	31525.5312	2631.2471
A1	4	naglu	33161.0586	4266.7744
A1	5	naglu	35082.4844	6188.2002
A1	6	naglu	37404.3672	8510.083
A1	7	naglu	42060.0625	13165.7783
A1	8	naglu	43469.293	14575.0088
A1	9	naglu	44518.5195	15624.2354
A1	10	naglu	45876.1016	16981.8164
A1	11	naglu	46762.7422	17868.457
A1	12	naglu	47897.793	19003.5078
A1	13	naglu	48830.2891	19936.0039
A1	14	naglu	49352.8281	20458.543
A1	15	naglu	50097.2305	21202.9453
A1	16	naglu	50846.6797	21952.3945
A1	17	naglu	51235.0039	22340.7188
A1	18	naglu	51660.2539	22765.9688
A1	19	naglu	52513.3047	23619.0195
A1	20	naglu	52680.7734	23786.4883
A1	21	naglu	53046.9883	24152.7031
A1	22	naglu	53807.4297	24913.1445
A1	23	naglu	53897.8359	25003.5508
A1	24	naglu	57782.4609	28888.1758
A1	25	naglu	57909.7656	29015.4805
A1	26	naglu	57715.2031	28820.918
A1	27	naglu	57843.6641	28949.3789
A1	28	naglu	57532.9609	28638.6758
A1	29	naglu	57647.1641	28752.8789
A1	30	naglu	57781.7305	28887.4453
A1	31	naglu	57592.4688	28698.1836
A1	32	naglu	57871.5234	28977.2383
A1	33	naglu	58069.9297	29175.6445
A1	34	naglu	59055.7109	30161.4258
A1	35	naglu	60484.3047	31590.0195
A2	1	naglu	33759.6484	-1221.293
A2	2	naglu	36202.2344	1221.293
A2	3	naglu	37772.3281	2791.3867
A2	4	naglu	38764.2656	3783.3242
A2	5	naglu	39660.6445	4679.7031
A2	6	naglu	40063.7109	5082.7695
A2	7	naglu	40349.7344	5368.793
A2	8	naglu	40678.293	5697.3516
A2	9	naglu	40909.3516	5928.4102
A2	10	naglu	41230.625	6249.6836
A2	11	naglu	41287.8047	6306.8633
A2	12	naglu	41475.0156	6494.0742
A2	13	naglu	41755.0664	6774.125
A2	14	naglu	41869.8828	6888.9414
A2	15	naglu	42011.8516	7030.9102
A2	16	naglu	42345.6797	7364.7383
A2	17	naglu	42956.4492	7975.5078
A2	18	naglu	44152.4375	9171.4961
A2	19	naglu	46229.8125	11248.8711
A2	20	naglu	49151.1445	14170.2031
A2	21	naglu	52864.1797	17883.2383
A2	22	naglu	57293.6406	22312.6992
A2	23	naglu	61371.0703	26390.1289
A2	24	naglu	65106.043	30125.1016
A2	25	naglu	69001.3125	34020.3711
A2	26	naglu	72181.1172	37200.1758
A2	27	naglu	75550.4922	40569.5508
A2	28	naglu	78938.625	43957.6836
A2	29	naglu	82466.1875	47485.2461
A2	30	naglu	85899.7344	50918.793
A2	31	naglu	89513.2656	54532.3242
A2	32	naglu	93186.2188	58205.2773
A2	33	naglu	96562.3828	61581.4414
A2	34	naglu	100069.2969	65088.3555
A2	35	naglu	103803.7344	68822.7969
A3	1	naglu	74283.9062	-8227.5049
A3	2	naglu	78263.8281	-4540.7397
A3	3	naglu	80835.8594	-2261.865
A3	4	naglu	82447.8281	-943.0529
A3	5	naglu	83990.4922	306.4545
A3	6	naglu	84658.2969	681.1025
