"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
32.089,1.000,"TOTAL_DISTANCE_IN_ZONE",12.8,20.0,0.0,13.9,0.0,64.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,17.3,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.0,0.0,18.9,0.0
32.089,1.000,"TOTAL_ENTRIES_IN_ZONE",1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
32.089,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.466,0.180,0.000,0.333,0.000,0.979,0.000,0.000,0.978,0.000,0.000,0.000,0.000,0.978,0.000,0.000,0.000,0.977,0.000,0.000,0.000,0.000,0.976,0.000,0.000,0.976,0.000,0.000,0.000,0.000,0.975,0.000
33.090,2.000,"TOTAL_DISTANCE_IN_ZONE",0.0,80.2,0.0,11.7,0.0,41.8,0.0,0.0,26.7,0.0,0.0,0.0,0.0,37.9,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,15.6,0.0,0.0,48.4,26.7,4.5,0.0,0.0,12.2,0.0
33.090,2.000,"TOTAL_ENTRIES_IN_ZONE",1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0
33.090,2.000,"TOTAL_TIME_SPENT_IN_ZONE",0.014,0.918,0.000,0.066,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.854,0.000,0.146,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.689,0.244,0.066,0.000,0.000,1.000,0.000
34.091,3.000,"TOTAL_DISTANCE_IN_ZONE",79.1,0.0,0.0,0.0,0.0,27.3,14.5,8.9,60.7,0.0,0.0,0.0,0.0,0.0,6.1,17.3,0.0,12.2,0.0,0.0,0.0,0.0,41.8,0.0,0.0,0.0,27.8,0.0,0.0,17.8,4.5,17.3
34.091,3.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1
34.091,3.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,0.000,0.551,0.115,0.333,1.000,0.000,0.000,0.000,0.000,0.000,0.213,0.786,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.411,0.188,0.400
35.092,4.000,"TOTAL_DISTANCE_IN_ZONE",15.6,44.0,0.0,10.6,0.0,0.0,36.7,0.0,39.0,0.0,0.0,0.0,0.0,0.0,37.3,0.0,0.0,16.7,0.0,0.0,0.0,0.0,59.6,0.0,0.0,0.0,34.5,4.5,0.0,13.4,0.0,0.0
