0.000,"Info","2023-08-18 10:42:25","Service 'ymaze_inLT' : Execution start"
0.000,"Info","Subject Identification","1"
0.000,"Info","Apparatus","139"
0.000,"Info","Unit ID","3A843F"
"TIME","","","ARENA","ACTION","ZONE"
31.105,"Info","Arena",1,"Enter_Zone",1
31.105,"Info","Arena",2,"Enter_Zone",2
31.105,"Info","Arena",3,"Enter_Zone",1
31.105,"Info","Arena",4,"Enter_Zone",2
31.105,"Info","Arena",5,"Enter_Zone",2
31.105,"Info","Arena",6,"Enter_Zone",3
31.105,"Info","Arena",7,"Enter_Zone",2
31.105,"Info","Arena",8,"Enter_Zone",3
31.571,"Info","Arena",1,"Exit_Zone",1
31.571,"Info","Arena",1,"Enter_Zone",4
31.905,"Info","Arena",1,"Exit_Zone",4
31.905,"Info","Arena",1,"Enter_Zone",2
32.771,"Info","Arena",7,"Exit_Zone",2
32.771,"Info","Arena",7,"Enter_Zone",4
32.838,"Info","Arena",7,"Exit_Zone",4
32.838,"Info","Arena",7,"Enter_Zone",3
32.938,"Info","Arena",4,"Exit_Zone",2
32.938,"Info","Arena",4,"Enter_Zone",4
33.004,"Info","Arena",1,"Exit_Zone",2
33.004,"Info","Arena",1,"Enter_Zone",4
33.071,"Info","Arena",1,"Exit_Zone",4
33.071,"Info","Arena",1,"Enter_Zone",1
33.271,"Info","Arena",8,"Exit_Zone",3
33.271,"Info","Arena",8,"Enter_Zone",4
33.638,"Info","Arena",2,"Exit_Zone",2
33.638,"Info","Arena",2,"Enter_Zone",4
33.671,"Info","Arena",8,"Exit_Zone",4
33.671,"Info","Arena",8,"Enter_Zone",2
33.871,"Info","Arena",4,"Exit_Zone",4
33.871,"Info","Arena",4,"Enter_Zone",3
33.971,"Info","Arena",2,"Exit_Zone",4
33.971,"Info","Arena",2,"Enter_Zone",3
34.238,"Info","Arena",1,"Exit_Zone",1
34.238,"Info","Arena",1,"Enter_Zone",4
34.504,"Info","Arena",1,"Exit_Zone",4
34.504,"Info","Arena",1,"Enter_Zone",2
34.971,"Info","Arena",7,"Exit_Zone",3
34.971,"Info","Arena",7,"Enter_Zone",4
35.138,"Info","Arena",7,"Exit_Zone",4
35.138,"Info","Arena",7,"Enter_Zone",2
35.304,"Info","Arena",3,"Exit_Zone",1
35.304,"Info","Arena",3,"Enter_Zone",4
35.338,"Info","Arena",7,"Exit_Zone",2
35.338,"Info","Arena",7,"Enter_Zone",4
35.371,"Info","Arena",3,"Exit_Zone",4
35.371,"Info","Arena",3,"Enter_Zone",3
35.371,"Info","Arena",7,"Exit_Zone",4
35.371,"Info","Arena",7,"Enter_Zone",1
35.404,"Info","Arena",3,"Exit_Zone",3
35.404,"Info","Arena",3,"Enter_Zone",4
35.438,"Info","Arena",3,"Exit_Zone",4
35.438,"Info","Arena",3,"Enter_Zone",3
35.904,"Info","Arena",8,"Exit_Zone",2
35.904,"Info","Arena",8,"Enter_Zone",4
36.071,"Info","Arena",1,"Exit_Zone",2
36.071,"Info","Arena",1,"Enter_Zone",4
36.237,"Info","Arena",1,"Exit_Zone",4
36.237,"Info","Arena",1,"Enter_Zone",3
36.671,"Info","Arena",3,"Exit_Zone",3
36.671,"Info","Arena",3,"Enter_Zone",2
36.771,"Info","Arena",2,"Exit_Zone",3
36.771,"Info","Arena",2,"Enter_Zone",4
36.937,"Info","Arena",2,"Exit_Zone",4
36.937,"Info","Arena",2,"Enter_Zone",2
37.137,"Info","Arena",7,"Exit_Zone",1
37.137,"Info","Arena",7,"Enter_Zone",2
37.271,"Info","Arena",3,"Exit_Zone",2
37.271,"Info","Arena",3,"Enter_Zone",4
37.404,"Info","Arena",3,"Exit_Zone",4
37.404,"Info","Arena",3,"Enter_Zone",1
37.637,"Info","Arena",1,"Exit_Zone",3
37.637,"Info","Arena",1,"Enter_Zone",4
37.671,"Info","Arena",1,"Exit_Zone",4
37.671,"Info","Arena",1,"Enter_Zone",2
37.671,"Info","Arena",8,"Exit_Zone",4
37.671,"Info","Arena",8,"Enter_Zone",3
37.737,"Info","Arena",8,"Exit_Zone",3
37.737,"Info","Arena",8,"Enter_Zone",4
37.771,"Info","Arena",8,"Exit_Zone",4
37.771,"Info","Arena",8,"Enter_Zone",3
38.637,"Info","Arena",2,"Exit_Zone",2
38.637,"Info","Arena",2,"Enter_Zone",4
38.771,"Info","Arena",2,"Exit_Zone",4
38.771,"Info","Arena",2,"Enter_Zone",1
39.204,"Info","Arena",1,"Exit_Zone",2
39.204,"Info","Arena",1,"Enter_Zone",4
39.304,"Info","Arena",1,"Exit_Zone",4
39.304,"Info","Arena",1,"Enter_Zone",1
39.637,"Info","Arena",7,"Exit_Zone",2
39.637,"Info","Arena",7,"Enter_Zone",4
39.771,"Info","Arena",7,"Exit_Zone",4
39.771,"Info","Arena",7,"Enter_Zone",1
40.004,"Info","Arena",6,"Exit_Zone",3
40.004,"Info","Arena",6,"Enter_Zone",4
40.037,"Info","Arena",6,"Exit_Zone",4
40.037,"Info","Arena",6,"Enter_Zone",2
40.137,"Info","Arena",3,"Exit_Zone",1
40.137,"Info","Arena",3,"Enter_Zone",4
40.171,"Info","Arena",3,"Exit_Zone",4
40.171,"Info","Arena",3,"Enter_Zone",3
40.770,"Info","Arena",5,"Exit_Zone",2
40.770,"Info","Arena",5,"Enter_Zone",4
40.970,"Info","Arena",5,"Exit_Zone",4
40.970,"Info","Arena",5,"Enter_Zone",3
41.037,"Info","Arena",2,"Exit_Zone",1
41.037,"Info","Arena",2,"Enter_Zone",4
41.370,"Info","Arena",2,"Exit_Zone",4
41.370,"Info","Arena",2,"Enter_Zone",2
41.770,"Info","Arena",1,"Exit_Zone",1
41.770,"Info","Arena",1,"Enter_Zone",4
41.804,"Info","Arena",8,"Exit_Zone",3
41.804,"Info","Arena",8,"Enter_Zone",4
41.837,"Info","Arena",1,"Exit_Zone",4
41.837,"Info","Arena",1,"Enter_Zone",3
42.071,"Info","Arena",8,"Exit_Zone",4
42.071,"Info","Arena",8,"Enter_Zone",1
42.137,"Info","Arena",4,"Exit_Zone",3
42.137,"Info","Arena",4,"Enter_Zone",4
42.237,"Info","Arena",4,"Exit_Zone",4
42.237,"Info","Arena",4,"Enter_Zone",2
42.604,"Info","Arena",6,"Exit_Zone",2
42.604,"Info","Arena",6,"Enter_Zone",4
42.637,"Info","Arena",6,"Exit_Zone",4
42.637,"Info","Arena",6,"Enter_Zone",3
43.237,"Info","Arena",5,"Exit_Zone",3
43.237,"Info","Arena",5,"Enter_Zone",4
43.337,"Info","Arena",5,"Exit_Zone",4
43.337,"Info","Arena",5,"Enter_Zone",2
43.804,"Info","Arena",7,"Exit_Zone",1
43.804,"Info","Arena",7,"Enter_Zone",4
44.037,"Info","Arena",7,"Exit_Zone",4
44.037,"Info","Arena",7,"Enter_Zone",3
44.071,"Info","Arena",1,"Exit_Zone",3
44.071,"Info","Arena",1,"Enter_Zone",4
44.203,"Info","Arena",3,"Exit_Zone",3
44.203,"Info","Arena",3,"Enter_Zone",2
44.237,"Info","Arena",1,"Exit_Zone",4
44.237,"Info","Arena",1,"Enter_Zone",2
44.870,"Info","Arena",3,"Exit_Zone",2
44.870,"Info","Arena",3,"Enter_Zone",3
45.003,"Info","Arena",8,"Exit_Zone",1
45.003,"Info","Arena",8,"Enter_Zone",4
45.137,"Info","Arena",8,"Exit_Zone",4
45.137,"Info","Arena",8,"Enter_Zone",2
45.437,"Info","Arena",4,"Exit_Zone",2
45.437,"Info","Arena",4,"Enter_Zone",4
45.537,"Info","Arena",3,"Exit_Zone",3
45.537,"Info","Arena",3,"Enter_Zone",4
45.570,"Info","Arena",1,"Exit_Zone",2
45.570,"Info","Arena",1,"Enter_Zone",4
45.570,"Info","Arena",3,"Exit_Zone",4
45.570,"Info","Arena",3,"Enter_Zone",2
45.570,"Info","Arena",6,"Exit_Zone",3
45.570,"Info","Arena",6,"Enter_Zone",4
45.570,"Info","Arena",7,"Exit_Zone",3
45.570,"Info","Arena",7,"Enter_Zone",4
45.603,"Info","Arena",6,"Exit_Zone",4
45.603,"Info","Arena",6,"Enter_Zone",1
45.603,"Info","Arena",7,"Exit_Zone",4
45.603,"Info","Arena",7,"Enter_Zone",2
45.637,"Info","Arena",1,"Exit_Zone",4
45.637,"Info","Arena",1,"Enter_Zone",1
45.703,"Info","Arena",7,"Exit_Zone",2
45.703,"Info","Arena",7,"Enter_Zone",4
45.737,"Info","Arena",7,"Exit_Zone",4
45.737,"Info","Arena",7,"Enter_Zone",1
45.870,"Info","Arena",4,"Exit_Zone",4
45.870,"Info","Arena",4,"Enter_Zone",3
46.270,"Info","Arena",3,"Exit_Zone",2
46.270,"Info","Arena",3,"Enter_Zone",4
46.303,"Info","Arena",3,"Exit_Zone",4
46.303,"Info","Arena",3,"Enter_Zone",3
