* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Applied Biosystems\StepOne Software v2.3\experiments\Lardelli\Karissa\20240112 KB naglu genotyping salbutamol exp 1-3.eds
* Experiment Run End Time = 2024-01-12 07:20:34 AM PST
* Instrument Type = steponeplus
* Passive Reference = 

[Melt Region Derivative Data]
Well	Well Location	Target	Reporter Dye	Reading 1	Reading 2	Reading 3	Reading 4	Reading 5	Reading 6	Reading 7	Reading 8	Reading 9	Reading 10	Reading 11	Reading 12	Reading 13	Reading 14	Reading 15	Reading 16	Reading 17	Reading 18	Reading 19	Reading 20	Reading 21	Reading 22	Reading 23	Reading 24	Reading 25	Reading 26	Reading 27	Reading 28	Reading 29	Reading 30	Reading 31	Reading 32	Reading 33	Reading 34	Reading 35	Reading 36	Reading 37	Reading 38	Reading 39	Reading 40	Reading 41	Reading 42	Reading 43	Reading 44	Reading 45	Reading 46	Reading 47	Reading 48	Reading 49	Reading 50	Reading 51	Reading 52	Reading 53	Reading 54	Reading 55	Reading 56	Reading 57	Reading 58	Reading 59	Reading 60	Reading 61	Reading 62	Reading 63	Reading 64	Reading 65	Reading 66	Reading 67	Reading 68	Reading 69	Reading 70	Reading 71	Reading 72	Reading 73	Reading 74	Reading 75	Reading 76	Reading 77	Reading 78	Reading 79	Reading 80	Reading 81	Reading 82	Reading 83	Reading 84	Reading 85	Reading 86	Reading 87	Reading 88	Reading 89	Reading 90	Reading 91	Reading 92	Reading 93	Reading 94	Reading 95	Reading 96	Reading 97	Reading 98	Reading 99	Reading 100	Reading 101	Reading 102	Reading 103	Reading 104	Reading 105	Reading 106	Reading 107	Reading 108	Reading 109	Reading 110	Reading 111	Reading 112	Reading 113	Reading 114	Reading 115	Reading 116	Reading 117	Reading 118
1	A1	naglu	SYBR	24723.3887	24534.7754	24339.502	24170.4844	24043.7754	23954.207	23887.6367	23838.0762	23826.2559	23905.6914	24153.9941	24647.2773	25427.3008	26472.5176	27692.1914	28947.7266	30097.1621	31042.8926	31760.4512	32293.2773	32714.3945	33078.8633	33393.4023	33620.2266	33709.2422	33633.3203	33405.6016	33072.7891	32693.125	32314.0098	31960.4492	31634.1953	31323.5137	31014.3672	30701.9414	30392.7344	30097.875	29822.1914	29557.8496	29290.0449	29009.3008	28720.9766	28442.7578	28192.5078	27976.6406	27786.9922	27609.3887	27433.9121	27260.3535	27095.248	26944.875	26810.873	26691.7559	26588.4688	26510.5527	26476.9492	26509.3789	26621.2031	26804.1992	27023.1504	27221.9004	27341.5527	27344.1055	27229.0332	27035.0801	26825.2637	26662.0098	26585.9805	26608.4941	26718.5488	26898.9805	27140.7246	27446.8828	27827.5957	28290.6445	28835.5996	29454.6191	30138.2129	30880.5918	31678.3906	32522.9746	33392.6406	34257.4258	35102.2656	35959.0039	36918.8125	38102.3945	39592.5	41367.5352	43281.1445	45104.2539	46601.8203	47599.0742	48007	47808.2656	47025.0703	45691.3008	43838.5742	41496.4531	38702.1289	35514.4961	32027.8984	28379.4434	24743.4297	21310.125	18252.3613	15690.6152	13668.5703	12147.8115	11022.334	10146.5889	9367.501	8552.166	7607.5952	6493.5073	5229.7148	3895.2356	2611.9504
2	A2	naglu	SYBR	26679.9062	26463.8848	26045.0449	25463.4805	24809.2051	24197.2793	23743.0586	23545.8672	23679.4082	24183.2051	25054.6523	26245.8789	27669.2109	29208.8691	30738.2637	32138.082	33315.6172	34217.4766	34831.5312	35177.3047	35290.2383	35210.6758	34979.9609	34641.625	34240.3633	33815.5078	33395.125	32995.9062	32630.3789	32310.9961	32046.0195	31829.7812	31638.2578	31437.9766	31201.4668	30919.5312	30601.1133	30263.8555	29923.0703	29585.7051	29250.4336	28911.1895	28562.8125	28204.334	27842.8691	27493.3789	27175.6523	26907.3301	26697.9902	26544.625	26433.6016	26347.2012	26272.1367	26205.916	26156.3867	26136.3691	26153.8418	26203.9023	26264.6445	26300.4707	26273.7539	26162.6172	25976.1895	25757.2891	25568.7793	25469.4746	25492.0371	25636.0977	25877.1777	26183.6582	26530.9512	26906.7559	27309.0801	27741.5938	28210.709	28724.8926	29294.0996	29928.3594	30633.4961	31405.0547	32221.4336	33043.6719	33829.9727	34565.0781	35291.2188	36114.8164	37170.6367	38551.4961	40242.0547	42099.3984	43893.6953	45383.8438	46383.1797	46787.293	46564.4766	45728.9531	44316.1367	42368.6719	39933.457	37066.3828	33842.5469	30367.0879	26780.1406	23249.9844	19952.4414	17041.541	14620.1543	12719.9424	11296.7793	10243.415	9416.0537	8667.1406	7874.5815	6960.564	5899.5659	4719.2017	3494.8394	2333.8787
3	A3	naglu	SYBR	28210.4492	27492.5137	26569.7246	25611.043	24811.4414	24336.4551	24287.041	24691.416	25513.7031	26670.4258	28047.5195	29520.5195	30976.6934	32331.0391	33529.3086	34539.0508	35337.3945	35908.3906	36247.4883	36368.4609	36303.5312	36098.2969	35802.1875	35459.7891	35102.5195	34744.9414	34386.7773	34020.8047	33642.8711	33257.0625	32873.8867	32503.8086	32152.1406	31818.9414	31501.1562	31195.9238	30901.2871	30616.0449	30338.6484	30066.0664	29792.0312	29507.3926	29201.3516	28867.4492	28508.5508	28141.1191	27790.8359	27483.918	27236.8398	27050.6855	26911.873	26799.7266	26694.3379	26582.4082	26458.6387	26325.5449	26192.5215	26073.6191	25984.6465	25938.334	25939.4707	25982.8066	26055.6289	26143.752	26238.9668	26342.6289	26463.8086	26613.2383	26797.2207	27016.3477	27269.3457	27559.207	27896.0254	28296.2246	28776.4121	29348.709	30017.7949	30781.4062	31629.7754	32542.9551	33487.2812	34418.2227	35296.082	36114.3438	36927.4883	37852.0625	39026.2305	40535.3477	42345.5859	44288.5234	46110.582	47557.418	48444.832	48683.7031	48262.375	47210.668	45569.9961	43380.2695	40682.8359	37534.25	34023.1055	30281.6641	26484.1289	22827.9883	19502.2227	16651.8184	14349.9854	12586.7334	11277.2158	10286.958	9465.7031	8678.8545	7827.9033	6858.4072	5760.665	4568.7173	3356.6953	2225.5205
4	A4	naglu	SYBR	15453.748	13506.4883	11522.4492	9964.6514	9152.373	9172.6572	9913.0674	11170.2354	12758.9014	14565.79	16545.3828	18680.5996	20945.8496	23287.7422	25629.4062	27883.9805	29973.2324	31841.3457	33466.8906	34872.4922	36125.125	37328.2031	38598.1875	40029.332	41654.1406	43404.8867	45091.2266	46406.7109	46976.9531	46446.4844	44586.0273	41387.0625	37107.4219	32245.6621	27443.7344	23343.793	20444.0527	19002.4004	19020.3613	20305.0645	22577.2031	25578.1113	29141.543	33214.7188	37830.7812	43043.6172	48841.4336	55058.3633	61320.6445	67060.4375	71620.9531	74433.1406	75210.7656	74088.2422	71641.8906	68783.8438	66568.5781	65978.2578	67746.6016	72243.1641	79413.6094	88760.1562	99366.5312	109982.0391	119180.875	125581.4766	128084.9141	126076.2812	119544.0234	109088.2422	95815.3594	81134.8594	66499.625	53151.0508	41933.7578	33225.0391	26983.0664	22876.1602	20434.8457	19177.1855	18683.7285	18627.7812	18780.1797	19005.9492	19257.0586	19553.9062	19949.0859	20478.9941	21124.3555	21801.0312	22386.3164	22763.166	22855.6074	22638.502	22124.0918	21340.8047	20318.7402	19086.8594	17678.5547	16138.6836	14526.5479	12912.4961	11368.4355	9955.3057	8711.6602	7647.6968	6747.1748	5976.2729	5295.7876	4671.9448	4082.2771	3515.7891	2969.365	2443.7805	1942.1057	1470.97	1042.467	673.3961
5	A5	naglu	SYBR	10566.9707	8282.3535	6126.0161	4646.521	4170.5947	4717.1689	6060.7075	7878.3125	9883.2754	11888.6143	13805.6484	15607.7607	17295.1133	18875.1719	20354.332	21735.5527	23014.8438	24179.8828	25211.4941	26090.4629	26805.3848	27358.3184	27763.6738	28043.2598	28220.3984	28317.3418	28355.9004	28359.0801	28350.7422	28351.6055	28373.6309	28417.2891	28473.3887	28531.3242	28588.3887	28656.2754	28762.9512	28949.3574	29265.5547	29766.1055	30507.6836	31551.252	32970.3906	34864.9258	37373.9414	40678.5273	44985.5625	50486.7344	57296.2461	65379.9297	74494.7422	84165.0938	93711.8281	102336.4844	109239.8906	113741.9453	115369.8359	113901.6875	109374.1797	102070.3047	92497.9453	81353.1797	69457.1484	57661.1367	46732.207	37247.5859	29528.3574	23631.9844	19401.668	16550.1309	14747.6748	13689.291	13130.5078	12894.6426	12862.8564	12958.4307	13133.2529	13358.4424	13617.6875	13900.8223	14197.6406	14494.3281	14776.4561	15039.4932	15300.7617	15602.7637	15998.8594	16524.8438	17172.1562	17880.5859	18555.9961	19102.1289	19448.1172	19558.916	19429.3105	19070.25	18496.5352	17721.1484	16756.2656	15618.8252	14337.1172	12954.9902	11531.2061	10133.3848	8827.8936	7668.5791	6687.5781	5890.645	5258.2012	4751.6606	4322.9751	3924.4917	3516.6255	3072.7461	2582.4509	2054.2031	1515.9463	1010.2573
6	A6	naglu	SYBR	12279.2822	10843.2061	9470.5879	8496.124	8112.1304	8321.8125	8984.6924	9913.5293	10959.7393	12054.8643	13213.3242	14509.0762	16038.3887	17877.9609	20046.7812	22487.4766	25076.7402	27658.4883	30089.0684	32280.748	34224.4336	35988.7695	37691.2227	39449.8477	41330.6953	43306.5117	45236.3086	46872.8711	47896.9336	47979.2422	46860.5039	44431.543	40793.4023	36275.2305	31395.7891	26770.8555	22985.1836	20467.9121	19414.5957	19780.6035	21345.7559	23821.3066	26956.3574	30609.666	34764.2969	39485.1406	44835.4609	50780.0039	57107.2578	63397.9609	69066.4609	73474.4609	76100.6719	76715.8828	75500.7969	73055.3516	70291.2734	68244.0312	67870.4219	69884.6875	74649.8203	82118.2578	91807.7656	102818.7188	113912.8594	123663.6094	130666.9297	133773.4688	132292.5625	126124.7344	115791.0391	102348.4297	87200.7266	71842.6797	57595.5547	45404.207	35744.2773	28650.6855	23835.1875	20837.7559	19160.4219	18357.2227	18079.8438	18092.9941	18271.3965	18580.4688	19038.2891	19665.416	20440.918	21285.623	22079.9062	22702.3086	23065.0859	23128.9375	22895.7363	22389.7344	21639.7031	20669.584	19498.6484	18148.1035	16649.6621	15051.2256	13416.4951	11817.6504	10323.2002	8985.1553	7830.0254	6856.4585	6039.8975	5341.9956	4721.0859	4140.6455	3574.1924	3007.2385	2437.8911	1877.0723	1347.4672	879.0656
7	A7	naglu	SYBR	16624.8359	14232.7061	11870.7178	10105.2783	9307.7559	9556.915	10692.6523	12444.1152	14551.6807	16825.7598	19151.6934	21464.748	23725.3516	25899.6992	27954.2754	29857.2969	31585.3438	33126.1133	34483.4609	35678.7305	36757.5742	37794.5938	38890.3242	40151.2617	41656.332	43419.9766	45360.4258	47285.6914	48900.5664	49842.582	49750.4648	48358.5117	45588.418	41609.1641	36832.3008	31841.3281	27268.627	23659.6211	21367.209	20508.082	20990.8965	22599.2344	25092.9961	28293.1836	32122.9707	36595.0625	41749.2461	47559.3398	53840.4297	60197.3477	66047.7344	70731.0547	73683.9688	74627.4922	73697.4453	71465.9453	68836.2031	66851.625	66482.7891	68452	73118.625	80415.5234	89824.6641	100396.875	110836.5312	119668.1172	125472.1328	127146.6562	124132.1016	116539.0938	105140.4609	91221.9453	76323.4922	61935.918	49234.0977	38918.4883	31195.1992	25874.7461	22531.5332	20660.166	19786.2051	19523.9082	19594.666	19827.1094	20147.5977	20559.5977	21105.5605	21817.4258	22674.7891	23593.0137	24446.8828	25113.3184	25506.4395	25588.6133	25359.3574	24835.7051	24037.2305	22980.7812	21684.0879	20174.2051	18495.7988	16714.916	14915.1758	13186.1855	11607.1533	10230.9287	9074.0586	8116.3506	7310.124	6595.7056	5917.5264	5235.6558	4530.2998	3800.4644	3060.2417	2335.5293	1660.9788	1074.5814
8	A8	naglu	SYBR	-1103.0737	-1925.03	-2677.3591	-3150.2676	-3225.0413	-2911.3748	-2322.5618	-1610.4014	-902.8046	-271.6458	264.943	721.4767	1124.2404	1500.3621	1876.5913	2281.5466	2746.7427	3304.7231	3986.4473	4820.3613	5832.521	7045.5635	8473.1904	10108.0215	11905.3848	13770.1836	15553.9463	17070.3066	18126.4414	18566.9355	18315.291	17402.5098	15970.5879	14247.8398	12501.6406	10980.5732	9864.4033	9237.0498	9091.377	9360.1689	9958.6475	10819.6904	11910.165	13227.3145	14782.5234	16579.252	18588.9492	20730.2617	22858.2773	24774.4609	26264.9238	27160.7988	27402.5508	27082.0137	26442.9492	25835.416	25640.2012	26187.9648	27694.5273	30221.498	33658.6523	37723.1289	41979.0859	45884.8789	48870.4648	50434.9336	50243.1094	48195.7852	44456.2773	39423.8047	33657.4922	27767.0605	22297.5371	17638.791	13983.6035	11339.9697	9584.0068	8527.5977	7975.9458	7761.3018	7753.4126	7856.3496	8002.9946	8153.0879	8293.6719	8435.8965	8603.0449	8811.8965	9056.5479	9304.5439	9507.7158	9620.3896	9613.9014	9480.541	9228.2734	8871.9561	8426.8379	7906.5962	7325.1978	6699.8301	6052.5942	5409.3843	4796.2329	4234.6108	3737.5974	3308.3892	2941.4314	2625.46	2347.2505	2094.7395	1858.704	1632.8073	1412.5804	1194.5978	976.9399	761.0654	553.5761	365.8786
9	A9	naglu	SYBR	13267.9941	11893.8486	10541.4424	9532.4121	9058.0889	9125.0928	9598.0469	10303.2354	11127.8037	12068.0498	13211.5762	14674.0439	16527.9883	18758.2012	21258.5742	23865.8086	26409.123	28757.7305	30847.7637	32687.8008	34343.9375	35916.082	37509.9062	39205.0625	41022.1914	42893.5234	44648.4258	46023.6211	46700.8984	46369.5469	44809.8555	41978.4531	38069.9648	33517.9883	28921.6055	24907.9844	21984.0859	20428.4844	20264.584	21314.7285	23308.6016	25998.168	29239.5508	33016.3789	37408.6328	42520.6055	48394.7773	54928.9922	61816.7969	68536.8203	74415.2734	78766.5781	81084.5078	81219.0391	79469.25	76552.3438	73459.8984	71255.9688	70880.2188	73000.5312	77925.1953	85556.75	95378.1094	106472.3594	117598.3281	127337.7109	134302.0625	137363.9062	135856.4375	129694.6094	119392.9062	105974.6406	90793.4766	75298.4688	60792.9375	48240.6602	38164.9023	30655.5547	25465.2812	22150.3379	20208.1172	19179.2773	18705.2383	18548.0898	18584.1465	18778.4922	19144.5977	19697.0293	20412.6211	21215.9883	21994.4805	22631.2969	23037.1523	23165.7324	23010.6387	22590.8262	21934.2754	21065.9902	20003.9062	18762.5195	17361.9492	15837.4189	14243.1426	12647.6377	11121.875	9725.1201	8494.2041	7439.1724	6545.8218	5783.1514	5112.8418	4497.6426	3906.8997	3319.3823	2725.3533	2129.2532	1551.5574	1025.9788
10	A10	naglu	SYBR	15739.5459	13940.8555	12024.0488	10397.6113	9367.793	9066.8145	9470.96	10475.6738	11961.1396	13824.9082	15979.6768	18340.5664	20813.6973	23295.8672	25678.6973	27867.5098	29803.9219	31487.1094	32977.8203	34376.5	35784.8477	37273.5156	38872.8477	40587.457	42412.168	44331.3008	46290.7188	48164.2656	49732.0039	50695.875	50734.043	49581.0312	47113.8828	43417.6797	38808.1875	33798.5234	29007.7285	25030.7168	22310.2598	21055.7812	21236.4648	22644.5938	25000.0938	28053.6328	31658.8008	35787.582	40491.5938	45815.5938	51698.1367	57894.1172	63954.1914	69280.8906	73255.5859	75410.3359	75595.5	74080.5781	71542.0469	68935.0703	67292.3516	67518.3906	70232.9766	75677.9531	83673.2578	93609.3516	104479.6016	114974.7734	123651.8359	129162.7266	130495.9219	127173.1172	119348.9141	107791.1172	93739.7422	78674.9297	64044.5391	51017.6445	40325.3672	32222.3125	26560.8496	22934.3203	20832.8926	19767.2832	19342.7031	19287.9375	19453.3301	19787.5781	20298.0527	21000.9297	21877.7168	22855.8242	23820.8711	24650.0879	25246.2441	25555.4297	25564.9277	25288.4395	24748.7988	23964.959	22947.3457	21701.7695	20240.5059	18595.4863	16826.2441	15016.9814	13261.9883	11645.1484	10222.127	9011.7461	7998.0742	7140.1001	6384.439	5677.375	4974.5073	4247.7803	3490.252	2718.3328	1969.7659	1295.0953
