* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Applied Biosystems\StepOne Software v2.3\experiments\Lardelli\Karissa\20240112 KB naglu genotyping salbutamol exp 1-3.eds
* Experiment Run End Time = 2024-01-12 07:20:34 AM PST
* Instrument Type = steponeplus
* Passive Reference = 

[Melt Region Temperature Data]
Well	Well Location	Target	Reporter Dye	Reading 1	Reading 2	Reading 3	Reading 4	Reading 5	Reading 6	Reading 7	Reading 8	Reading 9	Reading 10	Reading 11	Reading 12	Reading 13	Reading 14	Reading 15	Reading 16	Reading 17	Reading 18	Reading 19	Reading 20	Reading 21	Reading 22	Reading 23	Reading 24	Reading 25	Reading 26	Reading 27	Reading 28	Reading 29	Reading 30	Reading 31	Reading 32	Reading 33	Reading 34	Reading 35	Reading 36	Reading 37	Reading 38	Reading 39	Reading 40	Reading 41	Reading 42	Reading 43	Reading 44	Reading 45	Reading 46	Reading 47	Reading 48	Reading 49	Reading 50	Reading 51	Reading 52	Reading 53	Reading 54	Reading 55	Reading 56	Reading 57	Reading 58	Reading 59	Reading 60	Reading 61	Reading 62	Reading 63	Reading 64	Reading 65	Reading 66	Reading 67	Reading 68	Reading 69	Reading 70	Reading 71	Reading 72	Reading 73	Reading 74	Reading 75	Reading 76	Reading 77	Reading 78	Reading 79	Reading 80	Reading 81	Reading 82	Reading 83	Reading 84	Reading 85	Reading 86	Reading 87	Reading 88	Reading 89	Reading 90	Reading 91	Reading 92	Reading 93	Reading 94	Reading 95	Reading 96	Reading 97	Reading 98	Reading 99	Reading 100	Reading 101	Reading 102	Reading 103	Reading 104	Reading 105	Reading 106	Reading 107	Reading 108	Reading 109	Reading 110	Reading 111	Reading 112	Reading 113	Reading 114	Reading 115	Reading 116	Reading 117	Reading 118
1	A1	naglu	SYBR	70.007	70.1945	70.3979	70.6036	70.8133	71.0222	71.2306	71.4366	71.6432	71.8549	72.0592	72.2626	72.4703	72.6719	72.8792	73.0845	73.2926	73.4913	73.6948	73.9007	74.1021	74.3032	74.5071	74.7077	74.9136	75.1162	75.3158	75.5192	75.7196	75.9224	76.1238	76.3235	76.529	76.7275	76.939	77.1432	77.3468	77.5518	77.7582	77.9643	78.1689	78.3696	78.5756	78.7836	78.9881	79.1911	79.3969	79.598	79.8071	80.0118	80.2152	80.4212	80.6189	80.8226	81.026	81.2275	81.4361	81.6357	81.8419	82.0464	82.2477	82.4466	82.6486	82.8517	83.0586	83.2633	83.4628	83.6681	83.8727	84.0798	84.2831	84.4899	84.6908	84.8897	85.0953	85.3004	85.5066	85.7169	85.9156	86.1219	86.322	86.5227	86.728	86.9361	87.1477	87.3523	87.5547	87.7531	87.9545	88.1583	88.3631	88.5673	88.7703	88.9697	89.1757	89.3811	89.585	89.7876	89.9879	90.1925	90.3932	90.5997	90.8081	91.0146	91.216	91.424	91.626	91.8279	92.0398	92.2426	92.4473	92.6554	92.8556	93.0627	93.2716	93.4749	93.6852	93.8952
2	A2	naglu	SYBR	70.0264	70.214	70.4174	70.623	70.8328	71.0417	71.25	71.456	71.6626	71.8743	72.0786	72.282	72.4897	72.6913	72.8987	73.104	73.3121	73.5108	73.7143	73.9201	74.1215	74.3226	74.5266	74.7272	74.933	75.1357	75.3352	75.5387	75.739	75.9419	76.1433	76.343	76.5484	76.747	76.9585	77.1627	77.3663	77.5713	77.7777	77.9838	78.1883	78.389	78.595	78.803	79.0075	79.2106	79.4163	79.6174	79.8265	80.0313	80.2347	80.4406	80.6384	80.8421	81.0455	81.247	81.4555	81.6551	81.8614	82.0659	82.2672	82.4661	82.668	82.8711	83.0781	83.2827	83.4822	83.6875	83.8922	84.0992	84.3025	84.5093	84.7103	84.9092	85.1147	85.3198	85.526	85.7364	85.935	86.1414	86.3414	86.5421	86.7474	86.9555	87.1671	87.3718	87.5742	87.7725	87.9739	88.1778	88.3825	88.5867	88.7898	88.9891	89.1951	89.4006	89.6044	89.807	90.0073	90.2119	90.4127	90.6192	90.8275	91.0341	91.2355	91.4435	91.6454	91.8474	92.0593	92.262	92.4668	92.6749	92.875	93.0821	93.291	93.4943	93.7047	93.9147
3	A3	naglu	SYBR	70.034	70.2215	70.4286	70.6328	70.8399	71.0508	71.2621	71.4688	71.672	71.8848	72.0901	72.2929	72.4995	72.703	72.9127	73.1143	73.3222	73.524	73.7269	73.9316	74.1304	74.3345	74.539	74.7442	74.9495	75.1518	75.3511	75.5552	75.7557	75.9573	76.159	76.3577	76.5614	76.7657	76.9725	77.1767	77.3811	77.5892	77.7945	78.0031	78.2042	78.407	78.6152	78.8193	79.0221	79.2271	79.4335	79.6373	79.8451	80.0483	80.2542	80.4621	80.6584	80.8596	81.0646	81.2671	81.4764	81.6758	81.8815	82.0872	82.289	82.4878	82.6901	82.8932	83.1003	83.3046	83.505	83.7078	83.9153	84.1216	84.326	84.5333	84.7355	84.9337	85.137	85.3465	85.5525	85.7613	85.9614	86.1682	86.3698	86.566	86.7735	86.9821	87.1921	87.396	87.5986	87.8007	87.9999	88.2032	88.4092	88.6107	88.8143	89.0163	89.2209	89.4252	89.6312	89.8307	90.0323	90.2377	90.4399	90.6469	90.8548	91.0649	91.2645	91.4705	91.6743	91.8762	92.0853	92.2914	92.495	92.7047	92.905	93.1113	93.321	93.523	93.7383	93.9455
4	A4	naglu	SYBR	70.0529	70.2404	70.4476	70.6517	70.8588	71.0697	71.2811	71.4878	71.6909	71.9037	72.1091	72.3119	72.5185	72.722	72.9316	73.1333	73.3411	73.543	73.7458	73.9506	74.1494	74.3535	74.558	74.7632	74.9685	75.1708	75.37	75.5741	75.7746	75.9762	76.178	76.3767	76.5804	76.7847	76.9914	77.1956	77.4001	77.6082	77.8135	78.022	78.2232	78.4259	78.6342	78.8382	79.0411	79.2461	79.4525	79.6562	79.8641	80.0673	80.2732	80.481	80.6774	80.8785	81.0835	81.286	81.4954	81.6948	81.9005	82.1062	82.308	82.5068	82.7091	82.9121	83.1193	83.3236	83.5239	83.7268	83.9342	84.1405	84.3449	84.5523	84.7544	84.9527	85.156	85.3654	85.5714	85.7802	85.9804	86.1871	86.3887	86.585	86.7924	87.0011	87.2111	87.415	87.6176	87.8196	88.0189	88.2222	88.4282	88.6297	88.8333	89.0352	89.2399	89.4442	89.6502	89.8496	90.0513	90.2567	90.4589	90.6658	90.8737	91.0839	91.2834	91.4894	91.6933	91.8951	92.1042	92.3103	92.514	92.7236	92.9239	93.1302	93.3399	93.542	93.7573	93.9645
5	A5	naglu	SYBR	70.057	70.25	70.455	70.6593	70.8681	71.0787	71.2869	71.4933	71.6991	71.9094	72.1134	72.3182	72.5259	72.7292	72.9388	73.1405	73.3493	73.5483	73.7542	73.9575	74.1593	74.3603	74.5651	74.7688	74.9734	75.1776	75.3758	75.5766	75.7789	75.9814	76.1851	76.3847	76.5888	76.7895	76.9981	77.1981	77.4065	77.6128	77.8209	78.0297	78.2337	78.4317	78.6407	78.8466	79.0501	79.2533	79.4585	79.6602	79.8694	80.0728	80.2782	80.4877	80.6826	80.8851	81.0895	81.2927	81.4983	81.7004	81.9045	82.1129	82.3111	82.5123	82.7144	82.9179	83.1247	83.3311	83.5326	83.7342	83.939	84.1456	84.3507	84.5581	84.7572	84.9596	85.1626	85.3685	85.5755	85.7848	85.9868	86.1911	86.3938	86.5908	86.799	87.0092	87.2178	87.4232	87.6256	87.827	88.0266	88.2304	88.4366	88.6357	88.8411	89.0402	89.2455	89.4505	89.655	89.8568	90.058	90.2634	90.4669	90.6722	90.8823	91.0886	91.2876	91.4934	91.6989	91.9036	92.1109	92.3158	92.5191	92.7267	92.9274	93.1385	93.3409	93.5482	93.7598	93.9682
6	A6	naglu	SYBR	70.0758	70.2688	70.4738	70.6781	70.8869	71.0975	71.3057	71.5121	71.7179	71.9282	72.1322	72.337	72.5447	72.748	72.9576	73.1593	73.3681	73.5671	73.773	73.9763	74.1781	74.3791	74.5839	74.7876	74.9922	75.1964	75.3946	75.5954	75.7977	76.0002	76.2039	76.4035	76.6076	76.8083	77.0169	77.2169	77.4253	77.6316	77.8397	78.0485	78.2525	78.4505	78.6595	78.8654	79.0689	79.2721	79.4773	79.679	79.8882	80.0916	80.297	80.5065	80.7014	80.9039	81.1083	81.3115	81.5171	81.7192	81.9233	82.1317	82.3299	82.5311	82.7332	82.9367	83.1435	83.3499	83.5514	83.753	83.9578	84.1644	84.3695	84.5769	84.776	84.9784	85.1814	85.3873	85.5943	85.8036	86.0056	86.2099	86.4126	86.6096	86.8178	87.028	87.2366	87.442	87.6444	87.8458	88.0454	88.2492	88.4554	88.6545	88.8599	89.059	89.2643	89.4693	89.6738	89.8756	90.0768	90.2822	90.4857	90.691	90.9011	91.1074	91.3064	91.5122	91.7177	91.9224	92.1297	92.3346	92.5379	92.7455	92.9462	93.1573	93.3597	93.567	93.7786	93.987
7	A7	naglu	SYBR	70.0963	70.2874	70.4922	70.6941	70.9056	71.1156	71.323	71.5296	71.7323	71.9415	72.145	72.3526	72.5572	72.7615	72.9714	73.1719	73.3792	73.5777	73.7834	73.9853	74.1858	74.3866	74.5954	74.8014	75.0025	75.2055	75.4022	75.6078	75.8085	76.0086	76.2108	76.4101	76.6123	76.8143	77.0218	77.2261	77.431	77.6366	77.8409	78.0466	78.2513	78.4541	78.6593	78.8671	79.0713	79.2735	79.4789	79.6835	79.8891	80.0928	80.2982	80.5055	80.7028	80.9032	81.1062	81.308	81.5161	81.7164	81.9227	82.1268	82.3312	82.5284	82.7298	82.9323	83.1397	83.3443	83.5461	83.7466	83.9518	84.1557	84.3603	84.5677	84.77	84.9668	85.1762	85.3801	85.5852	85.7941	85.9949	86.1987	86.4014	86.6004	86.806	87.0143	87.2234	87.4294	87.6302	87.8281	88.0303	88.2327	88.4392	88.6392	88.8453	89.044	89.2483	89.4508	89.6574	89.8598	90.0615	90.2631	90.4656	90.6708	90.8795	91.0857	91.2894	91.4942	91.6985	91.8986	92.1088	92.3114	92.5185	92.7245	92.9273	93.1312	93.3374	93.5439	93.7558	93.9625
8	A8	naglu	SYBR	70.1151	70.3062	70.511	70.7129	70.9244	71.1344	71.3418	71.5484	71.7511	71.9603	72.1638	72.3714	72.576	72.7803	72.9902	73.1907	73.398	73.5965	73.8022	74.0041	74.2046	74.4054	74.6142	74.8202	75.0213	75.2243	75.421	75.6266	75.8273	76.0274	76.2296	76.4289	76.6311	76.8331	77.0406	77.2449	77.4498	77.6554	77.8597	78.0654	78.2701	78.4729	78.6781	78.8859	79.0901	79.2923	79.4977	79.7023	79.9079	80.1116	80.317	80.5243	80.7216	80.922	81.125	81.3268	81.5349	81.7352	81.9415	82.1456	82.35	82.5472	82.7486	82.9511	83.1585	83.3631	83.5649	83.7654	83.9706	84.1745	84.3791	84.5865	84.7888	84.9856	85.195	85.3989	85.604	85.8129	86.0137	86.2175	86.4202	86.6192	86.8248	87.0331	87.2422	87.4482	87.649	87.8469	88.0491	88.2515	88.458	88.658	88.8641	89.0628	89.2671	89.4696	89.6762	89.8786	90.0803	90.2819	90.4844	90.6896	90.8983	91.1045	91.3082	91.513	91.7173	91.9174	92.1276	92.3302	92.5373	92.7433	92.9461	93.15	93.3562	93.5627	93.7746	93.9813
9	A9	naglu	SYBR	70.1266	70.3201	70.5265	70.7306	70.9377	71.1506	71.3603	71.5671	71.7701	71.9801	72.1849	72.3895	72.5944	72.8001	73.0093	73.2088	73.4197	73.6182	73.8242	74.0292	74.2305	74.4334	74.637	74.8423	75.0446	75.2492	75.4494	75.6508	75.8484	76.0535	76.2547	76.456	76.6574	76.8599	77.0679	77.2734	77.4753	77.6844	77.8902	78.0974	78.302	78.5037	78.7099	78.916	79.1191	79.3246	79.5285	79.73	79.9397	80.145	80.3482	80.554	80.7533	80.9564	81.1571	81.3623	81.571	81.7725	81.9777	82.181	82.3829	82.5823	82.7858	82.985	83.1947	83.3994	83.5996	83.8016	84.0071	84.2119	84.4171	84.6244	84.827	85.0256	85.2327	85.4366	85.6431	85.8518	86.0551	86.2593	86.462	86.6619	86.8695	87.077	87.2859	87.491	87.6946	87.8918	88.0914	88.2955	88.5058	88.7038	88.9087	89.1077	89.3121	89.5193	89.7233	89.927	90.1267	90.3299	90.5314	90.736	90.9457	91.1513	91.3539	91.5596	91.7644	91.97	92.1782	92.3823	92.5863	92.7949	92.9998	93.2026	93.4128	93.6145	93.8285	94.036
10	A10	naglu	SYBR	70.1455	70.3391	70.5454	70.7495	70.9566	71.1695	71.3792	71.586	71.789	71.999	72.2038	72.4084	72.6133	72.819	73.0282	73.2277	73.4386	73.6371	73.8431	74.0481	74.2495	74.4523	74.6559	74.8612	75.0635	75.2682	75.4683	75.6697	75.8673	76.0724	76.2736	76.4749	76.6763	76.8788	77.0868	77.2924	77.4942	77.7033	77.9091	78.1163	78.3209	78.5226	78.7288	78.9349	79.138	79.3435	79.5474	79.7489	79.9586	80.1639	80.3671	80.5729	80.7722	80.9753	81.176	81.3812	81.59	81.7915	81.9967	82.1999	82.4018	82.6012	82.8047	83.0039	83.2136	83.4184	83.6185	83.8205	84.026	84.2309	84.4361	84.6433	84.8459	85.0445	85.2516	85.4555	85.662	85.8708	86.0741	86.2782	86.4809	86.6808	86.8885	87.0959	87.3048	87.5099	87.7135	87.9107	88.1103	88.3144	88.5247	88.7227	88.9277	89.1266	89.331	89.5382	89.7422	89.9459	90.1456	90.3488	90.5503	90.7549	90.9646	91.1702	91.3728	91.5785	91.7833	91.9889	92.1971	92.4012	92.6052	92.8139	93.0187	93.2215	93.4317	93.6334	93.8475	94.0549
