"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
31.954,1.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,31.1,0.0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,26.1,0.0,0.0,0.0
31.954,1.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
31.954,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.980,0.000,0.000,0.979,0.000,0.000,0.000,0.000,0.979,0.000,0.000,0.000,0.978,0.000,0.000,0.000,0.000,0.966,0.011,0.000,0.000,0.977,0.000,0.000,0.977,0.000,0.000,0.976,0.000,0.000,0.000
32.955,2.000,"TOTAL_DISTANCE_IN_ZONE",0.0,3.9,0.0,0.0,17.2,0.0,0.0,0.0,17.2,13.9,0.0,14.5,0.0,41.1,0.0,0.0,0.0,36.7,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,18.3,0.0,9.5,8.9
32.955,2.000,"TOTAL_ENTRIES_IN_ZONE",0,2,0,2,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1
32.955,2.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.685,0.000,0.314,1.000,0.000,0.000,0.000,0.413,0.319,0.000,0.266,0.000,1.000,0.000,0.000,0.000,0.912,0.000,0.087,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.489,0.000,0.377,0.133
33.956,3.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,3.9,13.3,0.0,0.0,0.0,41.7,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,32.8,0.0
33.956,3.000,"TOTAL_ENTRIES_IN_ZONE",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
33.956,3.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000
34.957,4.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,3.9,28.9,0.0,0.0,0.0,42.3,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,14.5,0.0
