0.000,"Info","2024-01-10 10:11:47","Service 'ymazeinLT' : Execution start"
0.000,"Info","Subject Identification","4"
0.000,"Info","Apparatus","148"
0.000,"Info","Unit ID","EAB8E5"
"TIME","","","ARENA","ACTION","ZONE"
30.909,"Info","Arena",1,"Enter_Zone",2
30.909,"Info","Arena",2,"Enter_Zone",3
30.909,"Info","Arena",3,"Enter_Zone",1
30.909,"Info","Arena",4,"Enter_Zone",2
30.909,"Info","Arena",5,"Enter_Zone",1
30.909,"Info","Arena",6,"Enter_Zone",3
30.909,"Info","Arena",7,"Enter_Zone",1
30.909,"Info","Arena",8,"Enter_Zone",3
31.876,"Info","Arena",2,"Exit_Zone",3
31.876,"Info","Arena",2,"Enter_Zone",4
31.942,"Info","Arena",6,"Exit_Zone",3
31.942,"Info","Arena",6,"Enter_Zone",4
32.009,"Info","Arena",2,"Exit_Zone",4
32.009,"Info","Arena",2,"Enter_Zone",1
32.609,"Info","Arena",6,"Exit_Zone",4
32.609,"Info","Arena",6,"Enter_Zone",1
32.842,"Info","Arena",4,"Exit_Zone",2
32.842,"Info","Arena",4,"Enter_Zone",4
33.176,"Info","Arena",7,"Exit_Zone",1
33.176,"Info","Arena",7,"Enter_Zone",4
33.442,"Info","Arena",5,"Exit_Zone",1
33.442,"Info","Arena",5,"Enter_Zone",4
33.609,"Info","Arena",4,"Exit_Zone",4
33.609,"Info","Arena",4,"Enter_Zone",1
33.609,"Info","Arena",7,"Exit_Zone",4
33.609,"Info","Arena",7,"Enter_Zone",3
33.709,"Info","Arena",8,"Exit_Zone",3
33.709,"Info","Arena",8,"Enter_Zone",4
33.909,"Info","Arena",8,"Exit_Zone",4
33.909,"Info","Arena",8,"Enter_Zone",2
33.942,"Info","Arena",5,"Exit_Zone",4
33.942,"Info","Arena",5,"Enter_Zone",3
34.075,"Info","Arena",3,"Exit_Zone",1
34.075,"Info","Arena",3,"Enter_Zone",4
34.409,"Info","Arena",2,"Exit_Zone",1
34.409,"Info","Arena",2,"Enter_Zone",4
34.675,"Info","Arena",7,"Exit_Zone",3
34.675,"Info","Arena",7,"Enter_Zone",4
34.809,"Info","Arena",2,"Exit_Zone",4
34.809,"Info","Arena",2,"Enter_Zone",2
34.809,"Info","Arena",3,"Exit_Zone",4
34.809,"Info","Arena",3,"Enter_Zone",2
35.009,"Info","Arena",7,"Exit_Zone",4
35.009,"Info","Arena",7,"Enter_Zone",2
35.609,"Info","Arena",1,"Exit_Zone",2
35.609,"Info","Arena",1,"Enter_Zone",4
35.811,"Info","Arena",1,"Exit_Zone",4
35.811,"Info","Arena",1,"Enter_Zone",1
36.309,"Info","Arena",6,"Exit_Zone",1
36.309,"Info","Arena",6,"Enter_Zone",4
36.875,"Info","Arena",4,"Exit_Zone",1
36.875,"Info","Arena",4,"Enter_Zone",4
37.109,"Info","Arena",6,"Exit_Zone",4
37.109,"Info","Arena",6,"Enter_Zone",2
37.375,"Info","Arena",4,"Exit_Zone",4
37.375,"Info","Arena",4,"Enter_Zone",3
37.909,"Info","Arena",2,"Exit_Zone",2
37.909,"Info","Arena",2,"Enter_Zone",4
38.008,"Info","Arena",2,"Exit_Zone",4
38.008,"Info","Arena",2,"Enter_Zone",3
38.208,"Info","Arena",5,"Exit_Zone",3
38.208,"Info","Arena",5,"Enter_Zone",4
38.308,"Info","Arena",1,"Exit_Zone",1
38.308,"Info","Arena",1,"Enter_Zone",2
38.342,"Info","Arena",1,"Exit_Zone",2
38.342,"Info","Arena",1,"Enter_Zone",1
38.375,"Info","Arena",1,"Exit_Zone",1
38.375,"Info","Arena",1,"Enter_Zone",2
38.375,"Info","Arena",5,"Exit_Zone",4
38.375,"Info","Arena",5,"Enter_Zone",2
38.408,"Info","Arena",1,"Exit_Zone",2
38.408,"Info","Arena",1,"Enter_Zone",1
38.608,"Info","Arena",7,"Exit_Zone",2
38.608,"Info","Arena",7,"Enter_Zone",4
38.908,"Info","Arena",7,"Exit_Zone",4
38.908,"Info","Arena",7,"Enter_Zone",1
39.142,"Info","Arena",1,"Exit_Zone",1
39.142,"Info","Arena",1,"Enter_Zone",4
39.242,"Info","Arena",1,"Exit_Zone",4
39.242,"Info","Arena",1,"Enter_Zone",2
40.175,"Info","Arena",6,"Exit_Zone",2
40.175,"Info","Arena",6,"Enter_Zone",4
40.575,"Info","Arena",6,"Exit_Zone",4
40.575,"Info","Arena",6,"Enter_Zone",3
40.642,"Info","Arena",2,"Exit_Zone",3
40.642,"Info","Arena",2,"Enter_Zone",4
40.808,"Info","Arena",3,"Exit_Zone",2
40.808,"Info","Arena",3,"Enter_Zone",4
41.008,"Info","Arena",2,"Exit_Zone",4
41.008,"Info","Arena",2,"Enter_Zone",2
41.375,"Info","Arena",7,"Exit_Zone",1
41.375,"Info","Arena",7,"Enter_Zone",4
41.642,"Info","Arena",5,"Exit_Zone",2
41.642,"Info","Arena",5,"Enter_Zone",4
41.642,"Info","Arena",7,"Exit_Zone",4
41.642,"Info","Arena",7,"Enter_Zone",2
41.743,"Info","Arena",1,"Exit_Zone",2
41.743,"Info","Arena",1,"Enter_Zone",4
41.908,"Info","Arena",5,"Exit_Zone",4
41.908,"Info","Arena",5,"Enter_Zone",3
42.008,"Info","Arena",3,"Exit_Zone",4
42.008,"Info","Arena",3,"Enter_Zone",3
42.175,"Info","Arena",8,"Exit_Zone",2
42.175,"Info","Arena",8,"Enter_Zone",4
42.208,"Info","Arena",1,"Exit_Zone",4
42.208,"Info","Arena",1,"Enter_Zone",1
42.475,"Info","Arena",4,"Exit_Zone",3
42.475,"Info","Arena",4,"Enter_Zone",4
42.608,"Info","Arena",8,"Exit_Zone",4
42.608,"Info","Arena",8,"Enter_Zone",1
42.775,"Info","Arena",4,"Exit_Zone",4
42.775,"Info","Arena",4,"Enter_Zone",2
43.875,"Info","Arena",7,"Exit_Zone",2
43.875,"Info","Arena",7,"Enter_Zone",4
44.075,"Info","Arena",7,"Exit_Zone",4
44.075,"Info","Arena",7,"Enter_Zone",3
44.208,"Info","Arena",5,"Exit_Zone",3
44.208,"Info","Arena",5,"Enter_Zone",4
44.408,"Info","Arena",2,"Exit_Zone",2
44.408,"Info","Arena",2,"Enter_Zone",4
44.575,"Info","Arena",2,"Exit_Zone",4
44.575,"Info","Arena",2,"Enter_Zone",1
44.675,"Info","Arena",5,"Exit_Zone",4
44.675,"Info","Arena",5,"Enter_Zone",1
44.975,"Info","Arena",6,"Exit_Zone",3
44.975,"Info","Arena",6,"Enter_Zone",4
45.241,"Info","Arena",6,"Exit_Zone",4
45.241,"Info","Arena",6,"Enter_Zone",1
46.474,"Info","Arena",7,"Exit_Zone",3
46.474,"Info","Arena",7,"Enter_Zone",4
46.808,"Info","Arena",7,"Exit_Zone",4
46.808,"Info","Arena",7,"Enter_Zone",1
46.941,"Info","Arena",5,"Exit_Zone",1
46.941,"Info","Arena",5,"Enter_Zone",4
46.941,"Info","Arena",8,"Exit_Zone",1
46.941,"Info","Arena",8,"Enter_Zone",4
47.274,"Info","Arena",8,"Exit_Zone",4
47.274,"Info","Arena",8,"Enter_Zone",3
47.608,"Info","Arena",5,"Exit_Zone",4
47.608,"Info","Arena",5,"Enter_Zone",2
47.908,"Info","Arena",1,"Exit_Zone",1
47.908,"Info","Arena",1,"Enter_Zone",4
47.941,"Info","Arena",3,"Exit_Zone",3
47.941,"Info","Arena",3,"Enter_Zone",4
48.008,"Info","Arena",1,"Exit_Zone",4
48.008,"Info","Arena",1,"Enter_Zone",3
48.241,"Info","Arena",6,"Exit_Zone",1
48.241,"Info","Arena",6,"Enter_Zone",4
48.441,"Info","Arena",6,"Exit_Zone",4
48.441,"Info","Arena",6,"Enter_Zone",2
48.608,"Info","Arena",3,"Exit_Zone",4
48.608,"Info","Arena",3,"Enter_Zone",3
49.241,"Info","Arena",4,"Exit_Zone",2
49.241,"Info","Arena",4,"Enter_Zone",4
49.341,"Info","Arena",2,"Exit_Zone",1
49.341,"Info","Arena",2,"Enter_Zone",4
49.374,"Info","Arena",2,"Exit_Zone",4
49.374,"Info","Arena",2,"Enter_Zone",3
50.074,"Info","Arena",4,"Exit_Zone",4
50.074,"Info","Arena",4,"Enter_Zone",1
50.074,"Info","Arena",7,"Exit_Zone",1
50.074,"Info","Arena",7,"Enter_Zone",4
50.074,"Info","Arena",8,"Exit_Zone",3
