"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"1","1","1",57,4,4,1,4,2,1,0,5,1,2,0,2,0,0,0,76,10,86,57,4,66.2790697674419,4.65116279069767,11.6279069767442,88.3720930232558
"2","1","2",74,9,7,2,7,0,2,0,9,0,0,0,2,0,0,0,104,11,115,74,0,64.3478260869565,0,9.56521739130435,90.4347826086957
"3","1","3",42,13,12,7,15,6,7,2,13,6,9,2,4,5,2,2,107,43,150,44,15,29.3333333333333,10,28.6666666666667,71.3333333333333
"4","1","4",31,14,13,4,11,8,4,2,14,3,7,2,5,1,2,1,89,36,125,32,15,25.6,12,28.8,71.2
"5","1","5",40,10,10,3,11,7,2,1,11,2,8,0,2,1,1,0,87,25,112,40,15,35.7142857142857,13.3928571428571,22.3214285714286,77.6785714285714
"6","1","6",28,10,11,2,8,11,3,1,10,2,9,2,4,0,1,0,76,29,105,28,20,26.6666666666667,19.047619047619,27.6190476190476,72.3809523809524
"7","10","1",0,0,1,7,2,2,4,7,0,8,3,4,6,5,7,20,25,54,79,20,5,25.3164556962025,6.32911392405063,68.3544303797468,31.6455696202532
"8","10","2",0,1,2,6,2,1,2,10,1,7,1,6,6,6,10,22,24,62,86,22,2,25.5813953488372,2.32558139534884,72.0930232558139,27.906976744186
"9","10","3",0,1,0,2,1,0,0,3,1,1,0,1,1,1,3,43,8,53,61,43,0,70.4918032786885,0,86.8852459016394,13.1147540983607
"10","10","4",0,0,0,0,0,0,0,3,0,0,0,3,0,3,3,33,3,45,48,33,0,68.75,0,93.75,6.25
"11","10","5",0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,40,2,47,49,40,0,81.6326530612245,0,95.9183673469388,4.08163265306122
"12","10","6",0,0,0,0,0,0,0,2,0,0,1,2,0,3,3,20,4,30,34,20,1,58.8235294117647,2.94117647058824,88.2352941176471,11.7647058823529
"13","100","1",1,4,8,3,7,9,8,0,4,8,7,5,5,3,0,0,42,33,75,1,16,1.33333333333333,21.3333333333333,44,56
"14","100","2",1,2,3,2,3,6,2,4,2,3,6,4,2,4,4,8,24,35,59,9,12,15.2542372881356,20.3389830508475,59.3220338983051,40.6779661016949
"15","100","3",9,5,6,3,6,4,3,3,5,3,4,3,2,4,3,6,40,32,72,15,8,20.8333333333333,11.1111111111111,44.4444444444444,55.5555555555556
"16","100","4",10,6,1,6,1,0,1,6,6,1,0,1,5,1,5,9,31,31,62,19,0,30.6451612903226,0,50,50
"17","100","5",3,1,2,8,2,0,5,8,1,9,0,5,8,5,9,39,30,78,108,42,0,38.8888888888889,0,72.2222222222222,27.7777777777778
"18","100","6",10,10,5,8,6,5,6,10,10,4,6,8,8,9,11,16,62,73,135,26,11,19.2592592592593,8.14814814814815,54.0740740740741,45.9259259259259
"19","101","1",0,0,0,0,0,1293,0,0,0,0,1294,0,0,0,0,0,1295,1295,2590,0,2587,0,99.8841698841699,50,50
"20","101","2",0,0,0,0,0,2266,0,0,0,0,2266,0,0,0,0,0,2267,2268,4535,0,4532,0,99.9338478500551,50.0110253583241,49.9889746416759
"21","101","3",0,0,0,0,0,3354,0,0,0,0,3354,0,0,0,0,0,3356,3355,6711,0,6708,0,99.9552972731337,49.9925495455223,50.0074504544777
"22","101","4",0,0,0,0,0,3892,0,0,0,0,3893,0,0,0,0,0,3894,3894,7788,0,7785,0,99.9614791987673,50,50
"23","101","5",0,0,0,0,0,4008,0,0,0,0,4009,0,0,0,0,0,4010,4010,8020,0,8017,0,99.9625935162095,50,50
"24","101","6",0,0,0,0,0,3530,0,0,0,0,3530,0,0,0,0,0,3531,3532,7063,0,7060,0,99.9575251309642,50.0070791448393,49.9929208551607
"25","11","1",1,3,2,5,4,6,8,8,3,4,8,11,4,12,8,6,39,57,96,7,14,7.29166666666667,14.5833333333333,59.375,40.625
"26","11","2",0,1,1,4,1,3,5,7,1,4,4,8,4,9,8,10,24,49,73,10,7,13.6986301369863,9.58904109589041,67.1232876712329,32.8767123287671
"27","11","3",0,2,4,1,3,7,2,4,3,3,5,5,3,3,4,6,26,32,58,6,12,10.3448275862069,20.6896551724138,55.1724137931034,44.8275862068966
"28","11","4",1,2,2,3,2,0,2,1,2,2,0,0,2,0,0,0,13,9,22,1,0,4.54545454545455,0,40.9090909090909,59.0909090909091
"29","11","5",0,2,1,2,0,2,3,1,2,1,1,3,3,2,1,5,12,20,32,5,3,15.625,9.375,62.5,37.5
"30","11","6",0,0,1,1,1,6,5,2,0,2,6,5,1,5,2,2,17,25,42,2,12,4.76190476190476,28.5714285714286,59.5238095238095,40.4761904761905
