"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
31.912,1.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,42.9,0.0,0.0,10.0,35.6,15.0,20.6,0.0,0.0,0.0,0.0,31.7,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,17.8,0.0,0.0,0.0,22.3,12.2,0.0,42.3,0.0,0.0
31.913,1.000,"TOTAL_ENTRIES_IN_ZONE",0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1
31.913,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.000,0.979,0.000,0.000,0.199,0.579,0.199,0.978,0.000,0.000,0.000,0.000,0.977,0.000,0.000,0.000,0.000,0.977,0.000,0.000,0.000,0.976,0.000,0.000,0.000,0.566,0.409,0.000,0.942,0.000,0.033
32.913,2.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,52.3,0.0,0.0,0.0,32.3,0.0,12.2,0.0,0.0,0.0,0.0,37.3,0.0,0.0,0.0,0.0,36.2,0.0,0.0,0.0,23.4,0.0,26.2,0.0,0.0,5.0,0.0,40.1,0.0,9.5
32.914,2.000,"TOTAL_ENTRIES_IN_ZONE",0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
32.914,2.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.777,0.000,0.000,0.222,0.000,0.823,0.000,0.176
33.914,3.000,"TOTAL_DISTANCE_IN_ZONE",0.0,69.0,28.4,6.1,32.3,0.0,6.1,21.7,25.1,0.0,0.0,0.0,0.0,36.2,20.0,10.6,0.0,0.0,21.2,0.0,0.0,0.0,12.2,0.0,44.0,0.0,0.0,5.0,45.1,0.0,0.0,3.9
33.914,3.000,"TOTAL_ENTRIES_IN_ZONE",0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
33.915,3.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.781,0.151,0.066,0.614,0.000,0.085,0.299,1.000,0.000,0.000,0.000,0.000,0.653,0.146,0.199,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.888,0.000,0.000,0.111,0.944,0.000,0.000,0.055
34.915,4.000,"TOTAL_DISTANCE_IN_ZONE",0.0,65.7,0.0,0.0,42.3,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,57.9,0.0,0.0,0.0,14.5,0.0,30.6,0.0,38.4,0.0,0.0,42.9,0.0,4.5,35.1,0.0,0.0,0.0
34.915,4.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
