"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
31.952,1.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,7.8,0.0,0.0,424.8,207.4,0.0,0.0,0.0,0.0,17.8,0.0,37.2,0.0,0.0,3.9,0.0,25.0,0.0,0.0,38.9,55.6,0.0,0.0
31.953,1.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,0,1,0,0,1,0,0,6,7,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2,3,0,0
31.953,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.979,0.000,0.000,0.000,0.000,0.979,0.000,0.000,0.978,0.000,0.000,0.666,0.311,0.000,0.000,0.000,0.000,0.977,0.000,0.843,0.000,0.000,0.133,0.000,0.976,0.000,0.000,0.100,0.875,0.000,0.000
32.953,2.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,0.0,0.0,43.9,0.0,0.0,27.8,0.0,0.0,328.6,222.9,0.0,0.0,0.0,0.0,17.2,0.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.7,169.0,0.0,0.0
32.953,2.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,0,1,0,0,1,0,0,10,10,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,5,0,0
32.954,2.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.612,0.388,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.166,0.834,0.000,0.000
33.954,3.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,0.0,37.2,0.0,19.5,0.0,39.5,0.0,0.0,331.4,143.4,0.0,0.0,0.0,0.0,31.1,0.0,24.5,0.0,0.0,9.5,0.0,29.5,35.6,5.0,38.4,49.5,0.0,0.0
33.954,3.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,1,1,1,0,1,0,0,9,9,0,0,0,0,1,0,1,0,0,1,0,1,1,1,2,3,0,0
33.955,3.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,0.614,0.019,0.366,0.000,1.000,0.000,0.000,0.619,0.380,0.000,0.000,0.000,0.000,1.000,0.000,0.854,0.000,0.000,0.145,0.000,0.388,0.511,0.100,0.066,0.933,0.000,0.000
34.955,4.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,0.0,28.4,0.0,0.0,0.0,12.8,0.0,0.0,395.8,215.2,0.0,0.0,0.0,0.0,12.8,8.3,0.0,46.7,0.0,6.1,0.0,0.0,38.9,7.2,111.2,145.1,0.0,0.0
34.955,4.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,1,0,0,0,1,0,0,8,8,0,0,0,0,1,1,0,1,0,1,0,0,1,1,3,4,0,0
34.955,4.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.681,0.318,0.000,0.000,0.000,0.000,0.353,0.647,0.000,0.979,0.000,0.020,0.000,0.000,0.954,0.046,0.099,0.900,0.000,0.000
35.956,5.000,"TOTAL_DISTANCE_IN_ZONE",0.0,12.8,0.0,0.0,0.0,22.8,0.0,12.2,0.0,16.1,0.0,0.0,488.7,195.7,0.0,0.0,0.0,0.0,0.0,4.4,0.0,35.0,0.0,0.0,0.0,16.1,35.6,26.7,142.3,154.0,0.0,0.0
35.956,5.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,1,0,1,0,1,0,0,7,6,0,0,0,0,0,1,0,1,0,0,0,1,1,2,3,4,0,0
35.956,5.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.050,0.516,0.000,0.433,0.000,1.000,0.000,0.000,0.732,0.267,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.166,0.513,0.320,0.099,0.900,0.000,0.000
36.957,6.000,"TOTAL_DISTANCE_IN_ZONE",0.0,17.2,0.0,0.0,43.9,0.0,0.0,0.0,0.0,30.0,0.0,0.0,283.5,269.6,0.0,0.0,0.0,34.5,0.0,3.9,0.0,27.8,0.0,0.0,0.0,0.0,36.1,0.0,109.5,122.9,0.0,0.0
36.957,6.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,0,1,0,0,7,7,0,0,0,1,0,1,0,1,0,0,0,0,1,0,3,4,0,0
36.957,6.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.616,0.383,0.000,0.000,0.000,0.915,0.000,0.084,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.099,0.900,0.000,0.000
37.958,7.000,"TOTAL_DISTANCE_IN_ZONE",0.0,26.1,0.0,0.0,16.7,0.0,0.0,0.0,0.0,27.2,0.0,0.0,453.1,304.1,0.0,0.0,0.0,44.5,0.0,0.0,0.0,43.4,0.0,0.0,16.1,0.0,16.1,17.8,97.3,141.2,0.0,0.0
37.958,7.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,0,1,0,0,8,9,0,0,0,1,0,0,0,1,0,0,1,0,1,1,2,3,0,0
37.958,7.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.565,0.434,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.282,0.000,0.417,0.300,0.066,0.934,0.000,0.000
38.959,8.000,"TOTAL_DISTANCE_IN_ZONE",0.0,30.0,0.0,0.0,28.4,0.0,0.0,0.0,0.0,19.5,0.0,7.8,455.3,303.0,0.0,0.0,0.0,17.2,0.0,0.0,0.0,3.9,31.7,13.3,31.7,0.0,0.0,0.0,18.9,46.7,0.0,0.0
38.959,8.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,1,0,1,0,1,8,8,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,2,0,0
38.959,8.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.947,0.000,0.000,0.053,0.000,0.714,0.000,0.285,0.684,0.315,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.049,0.650,0.299,1.000,0.000,0.000,0.000,0.033,0.966,0.000,0.000
39.960,9.000,"TOTAL_DISTANCE_IN_ZONE",0.0,3.9,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,32.2,10.6,422.5,319.1,0.0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,22.8,0.0,23.4,0.0,0.0,0.0,45.0,56.7,0.0,0.0
39.960,9.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,0,0,1,0,0,1,1,7,7,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2,0,0
39.960,9.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.886,0.113,0.480,0.520,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.066,0.933,0.000,0.000
40.961,10.000,"TOTAL_DISTANCE_IN_ZONE",0.0,17.2,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,31.7,0.0,360.8,351.9,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,9.5,0.0,10.6,0.0,30.0,17.2,162.3,120.6,0.0,0.0
40.961,10.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,1,0,1,0,0,1,0,6,6,0,0,0,1,0,0,0,0,1,0,1,0,1,1,3,4,0,0
40.961,10.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,0.855,0.000,0.145,0.000,0.000,1.000,0.000,0.619,0.380,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.081,0.000,0.718,0.199,0.132,0.867,0.000,0.000
41.962,11.000,"TOTAL_DISTANCE_IN_ZONE",0.0,24.5,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,13.3,8.9,252.4,306.9,0.0,0.0,0.0,29.5,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,39.5,0.0,207.4,217.9,0.0,0.0
41.962,11.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,1,0,0,0,1,1,1,7,7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5,6,0,0
41.962,11.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.188,0.378,0.433,0.477,0.522,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.166,0.833,0.000,0.000
42.963,12.000,"TOTAL_DISTANCE_IN_ZONE",0.0,34.5,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,6.1,24.5,387.0,346.9,0.0,0.0,5.0,18.3,0.0,12.8,0.0,0.0,38.9,0.0,25.0,0.0,23.4,20.0,69.5,116.2,0.0,0.0
42.963,12.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,1,0,0,1,1,1,2,7,8,0,0,1,1,0,1,0,0,1,0,1,0,1,1,3,3,0,0
42.963,12.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.066,0.010,0.289,0.633,0.465,0.534,0.000,0.000,0.055,0.511,0.000,0.433,0.000,0.000,1.000,0.000,0.287,0.000,0.346,0.366,0.086,0.913,0.000,0.000
43.964,13.000,"TOTAL_DISTANCE_IN_ZONE",0.0,25.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,35.0,0.0,338.0,367.5,0.0,0.0,35.6,0.0,0.0,0.0,11.7,0.0,34.5,11.1,31.1,0.0,0.0,0.0,84.5,105.6,0.0,0.0
43.964,13.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,1,0,0,0,0,1,0,10,10,0,0,1,0,0,0,1,0,1,1,1,0,0,0,3,3,0,0
43.964,13.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.456,0.544,0.000,0.000,1.000,0.000,0.000,0.000,0.222,0.000,0.644,0.133,1.000,0.000,0.000,0.000,0.079,0.921,0.000,0.000
44.965,14.000,"TOTAL_DISTANCE_IN_ZONE",0.0,52.3,5.6,14.5,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,243.5,257.4,0.0,0.0,33.4,0.0,0.0,0.0,40.6,0.0,0.0,0.0,31.7,0.0,0.0,0.0,91.7,102.3,0.0,0.0
44.965,14.000,"TOTAL_ENTRIES_IN_ZONE",0,1,1,1,0,1,0,0,0,0,1,0,6,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,3,0,0
