0.000,"Info","2023-07-07 10:30:33","Service 'ymaze_inLT' : Execution start"
0.000,"Info","Subject Identification","1"
0.000,"Info","Apparatus","139"
0.000,"Info","Unit ID","3A843F"
"TIME","","","ARENA","ACTION","ZONE"
30.963,"Info","Arena",1,"Enter_Zone",4
30.963,"Info","Arena",2,"Enter_Zone",2
30.963,"Info","Arena",3,"Enter_Zone",4
30.963,"Info","Arena",4,"Enter_Zone",1
30.963,"Info","Arena",5,"Enter_Zone",2
30.963,"Info","Arena",6,"Enter_Zone",2
30.963,"Info","Arena",7,"Enter_Zone",1
30.963,"Info","Arena",8,"Enter_Zone",2
31.163,"Info","Arena",3,"Exit_Zone",4
31.163,"Info","Arena",3,"Enter_Zone",3
31.196,"Info","Arena",1,"Exit_Zone",4
31.196,"Info","Arena",1,"Enter_Zone",3
31.230,"Info","Arena",6,"Exit_Zone",2
31.230,"Info","Arena",6,"Enter_Zone",4
31.330,"Info","Arena",6,"Exit_Zone",4
31.330,"Info","Arena",6,"Enter_Zone",1
31.496,"Info","Arena",2,"Exit_Zone",2
31.496,"Info","Arena",2,"Enter_Zone",4
31.763,"Info","Arena",2,"Exit_Zone",4
31.763,"Info","Arena",2,"Enter_Zone",1
32.496,"Info","Arena",4,"Exit_Zone",1
32.496,"Info","Arena",4,"Enter_Zone",4
32.630,"Info","Arena",4,"Exit_Zone",4
32.630,"Info","Arena",4,"Enter_Zone",2
33.030,"Info","Arena",6,"Exit_Zone",1
33.030,"Info","Arena",6,"Enter_Zone",4
33.163,"Info","Arena",6,"Exit_Zone",4
33.163,"Info","Arena",6,"Enter_Zone",3
33.763,"Info","Arena",2,"Exit_Zone",1
33.763,"Info","Arena",2,"Enter_Zone",4
34.063,"Info","Arena",2,"Exit_Zone",4
34.063,"Info","Arena",2,"Enter_Zone",2
34.363,"Info","Arena",7,"Exit_Zone",1
34.363,"Info","Arena",7,"Enter_Zone",4
34.663,"Info","Arena",7,"Exit_Zone",4
34.663,"Info","Arena",7,"Enter_Zone",2
35.763,"Info","Arena",8,"Exit_Zone",2
35.763,"Info","Arena",8,"Enter_Zone",4
35.863,"Info","Arena",8,"Exit_Zone",4
35.863,"Info","Arena",8,"Enter_Zone",3
40.829,"Info","Arena",2,"Exit_Zone",2
40.829,"Info","Arena",2,"Enter_Zone",4
41.062,"Info","Arena",2,"Exit_Zone",4
41.062,"Info","Arena",2,"Enter_Zone",3
41.095,"Info","Arena",3,"Exit_Zone",3
41.095,"Info","Arena",3,"Enter_Zone",4
41.395,"Info","Arena",4,"Exit_Zone",2
41.395,"Info","Arena",4,"Enter_Zone",4
41.529,"Info","Arena",3,"Exit_Zone",4
41.529,"Info","Arena",3,"Enter_Zone",3
41.929,"Info","Arena",4,"Exit_Zone",4
41.929,"Info","Arena",4,"Enter_Zone",3
43.095,"Info","Arena",2,"Exit_Zone",3
43.095,"Info","Arena",2,"Enter_Zone",4
43.162,"Info","Arena",2,"Exit_Zone",4
43.162,"Info","Arena",2,"Enter_Zone",2
43.762,"Info","Arena",3,"Exit_Zone",3
43.762,"Info","Arena",3,"Enter_Zone",4
44.129,"Info","Arena",3,"Exit_Zone",4
44.129,"Info","Arena",3,"Enter_Zone",1
44.862,"Info","Arena",7,"Exit_Zone",2
44.862,"Info","Arena",7,"Enter_Zone",4
44.995,"Info","Arena",2,"Exit_Zone",2
44.995,"Info","Arena",2,"Enter_Zone",4
44.995,"Info","Arena",7,"Exit_Zone",4
44.995,"Info","Arena",7,"Enter_Zone",3
45.195,"Info","Arena",4,"Exit_Zone",3
45.195,"Info","Arena",4,"Enter_Zone",4
45.228,"Info","Arena",6,"Exit_Zone",3
45.228,"Info","Arena",6,"Enter_Zone",4
45.395,"Info","Arena",2,"Exit_Zone",4
45.395,"Info","Arena",2,"Enter_Zone",3
45.395,"Info","Arena",6,"Exit_Zone",4
45.395,"Info","Arena",6,"Enter_Zone",1
45.995,"Info","Arena",4,"Exit_Zone",4
45.995,"Info","Arena",4,"Enter_Zone",2
46.162,"Info","Arena",1,"Exit_Zone",3
46.162,"Info","Arena",1,"Enter_Zone",4
46.228,"Info","Arena",1,"Exit_Zone",4
46.228,"Info","Arena",1,"Enter_Zone",2
46.795,"Info","Arena",7,"Exit_Zone",3
46.795,"Info","Arena",7,"Enter_Zone",4
47.262,"Info","Arena",3,"Exit_Zone",1
47.262,"Info","Arena",3,"Enter_Zone",4
47.328,"Info","Arena",1,"Exit_Zone",2
47.328,"Info","Arena",1,"Enter_Zone",4
47.495,"Info","Arena",1,"Exit_Zone",4
47.495,"Info","Arena",1,"Enter_Zone",1
47.562,"Info","Arena",3,"Exit_Zone",4
47.562,"Info","Arena",3,"Enter_Zone",3
47.628,"Info","Arena",7,"Exit_Zone",4
47.628,"Info","Arena",7,"Enter_Zone",1
48.362,"Info","Arena",8,"Exit_Zone",3
48.362,"Info","Arena",8,"Enter_Zone",4
48.428,"Info","Arena",5,"Exit_Zone",2
48.428,"Info","Arena",5,"Enter_Zone",1
48.495,"Info","Arena",8,"Exit_Zone",4
48.495,"Info","Arena",8,"Enter_Zone",2
49.528,"Info","Arena",2,"Exit_Zone",3
49.528,"Info","Arena",2,"Enter_Zone",4
49.661,"Info","Arena",3,"Exit_Zone",3
49.661,"Info","Arena",3,"Enter_Zone",4
49.695,"Info","Arena",2,"Exit_Zone",4
49.695,"Info","Arena",2,"Enter_Zone",2
49.761,"Info","Arena",1,"Exit_Zone",1
