0.000,"Info","2023-07-07 15:15:08","Service 'ymazeinLT' : Execution start"
0.000,"Info","Subject Identification","10"
0.000,"Info","Apparatus","148"
0.000,"Info","Unit ID","EAB8E5"
"TIME","","","ARENA","ACTION","ZONE"
30.923,"Info","Arena",1,"Enter_Zone",3
30.923,"Info","Arena",2,"Enter_Zone",3
30.923,"Info","Arena",3,"Enter_Zone",2
30.923,"Info","Arena",4,"Enter_Zone",2
30.923,"Info","Arena",5,"Enter_Zone",1
30.923,"Info","Arena",6,"Enter_Zone",2
30.923,"Info","Arena",7,"Enter_Zone",1
30.923,"Info","Arena",8,"Enter_Zone",1
31.156,"Info","Arena",8,"Exit_Zone",1
31.156,"Info","Arena",8,"Enter_Zone",4
31.456,"Info","Arena",5,"Exit_Zone",1
31.456,"Info","Arena",5,"Enter_Zone",2
31.523,"Info","Arena",8,"Exit_Zone",4
31.523,"Info","Arena",8,"Enter_Zone",2
32.489,"Info","Arena",4,"Exit_Zone",2
32.489,"Info","Arena",4,"Enter_Zone",4
32.692,"Info","Arena",4,"Exit_Zone",4
32.692,"Info","Arena",4,"Enter_Zone",1
33.523,"Info","Arena",1,"Exit_Zone",3
33.523,"Info","Arena",1,"Enter_Zone",4
33.692,"Info","Arena",5,"Exit_Zone",2
33.692,"Info","Arena",5,"Enter_Zone",4
33.756,"Info","Arena",5,"Exit_Zone",4
33.756,"Info","Arena",5,"Enter_Zone",3
33.789,"Info","Arena",1,"Exit_Zone",4
33.789,"Info","Arena",1,"Enter_Zone",1
33.956,"Info","Arena",6,"Exit_Zone",2
33.956,"Info","Arena",6,"Enter_Zone",4
34.023,"Info","Arena",7,"Exit_Zone",1
34.023,"Info","Arena",7,"Enter_Zone",4
34.089,"Info","Arena",6,"Exit_Zone",4
34.089,"Info","Arena",6,"Enter_Zone",1
34.223,"Info","Arena",5,"Exit_Zone",3
34.223,"Info","Arena",5,"Enter_Zone",4
34.389,"Info","Arena",5,"Exit_Zone",4
34.389,"Info","Arena",5,"Enter_Zone",1
34.489,"Info","Arena",7,"Exit_Zone",4
34.489,"Info","Arena",7,"Enter_Zone",2
35.392,"Info","Arena",8,"Exit_Zone",2
35.392,"Info","Arena",8,"Enter_Zone",4
35.756,"Info","Arena",8,"Exit_Zone",4
35.756,"Info","Arena",8,"Enter_Zone",3
36.156,"Info","Arena",7,"Exit_Zone",2
36.156,"Info","Arena",7,"Enter_Zone",4
36.389,"Info","Arena",8,"Exit_Zone",3
36.389,"Info","Arena",8,"Enter_Zone",4
36.456,"Info","Arena",7,"Exit_Zone",4
36.456,"Info","Arena",7,"Enter_Zone",3
36.692,"Info","Arena",8,"Exit_Zone",4
36.692,"Info","Arena",8,"Enter_Zone",1
37.222,"Info","Arena",4,"Exit_Zone",1
37.222,"Info","Arena",4,"Enter_Zone",4
37.322,"Info","Arena",4,"Exit_Zone",4
37.322,"Info","Arena",4,"Enter_Zone",2
38.156,"Info","Arena",8,"Exit_Zone",1
38.156,"Info","Arena",8,"Enter_Zone",4
38.622,"Info","Arena",8,"Exit_Zone",4
38.622,"Info","Arena",8,"Enter_Zone",2
38.856,"Info","Arena",2,"Exit_Zone",3
38.856,"Info","Arena",2,"Enter_Zone",4
38.889,"Info","Arena",1,"Exit_Zone",1
38.889,"Info","Arena",1,"Enter_Zone",4
38.956,"Info","Arena",2,"Exit_Zone",4
38.956,"Info","Arena",2,"Enter_Zone",1
38.956,"Info","Arena",7,"Exit_Zone",3
38.956,"Info","Arena",7,"Enter_Zone",4
39.122,"Info","Arena",1,"Exit_Zone",4
39.122,"Info","Arena",1,"Enter_Zone",2
39.422,"Info","Arena",7,"Exit_Zone",4
39.422,"Info","Arena",7,"Enter_Zone",2
40.556,"Info","Arena",6,"Exit_Zone",1
40.556,"Info","Arena",6,"Enter_Zone",4
40.692,"Info","Arena",6,"Exit_Zone",4
40.692,"Info","Arena",6,"Enter_Zone",3
41.922,"Info","Arena",1,"Exit_Zone",2
41.922,"Info","Arena",1,"Enter_Zone",4
42.255,"Info","Arena",1,"Exit_Zone",4
42.255,"Info","Arena",1,"Enter_Zone",1
42.855,"Info","Arena",7,"Exit_Zone",2
42.855,"Info","Arena",7,"Enter_Zone",4
43.155,"Info","Arena",2,"Exit_Zone",1
43.155,"Info","Arena",2,"Enter_Zone",4
43.155,"Info","Arena",7,"Exit_Zone",4
43.155,"Info","Arena",7,"Enter_Zone",3
43.322,"Info","Arena",8,"Exit_Zone",2
43.322,"Info","Arena",8,"Enter_Zone",4
43.389,"Info","Arena",2,"Exit_Zone",4
43.389,"Info","Arena",2,"Enter_Zone",3
43.389,"Info","Arena",4,"Exit_Zone",2
43.389,"Info","Arena",4,"Enter_Zone",4
43.622,"Info","Arena",4,"Exit_Zone",4
43.622,"Info","Arena",4,"Enter_Zone",3
43.655,"Info","Arena",8,"Exit_Zone",4
43.655,"Info","Arena",8,"Enter_Zone",3
43.822,"Info","Arena",2,"Exit_Zone",3
43.822,"Info","Arena",2,"Enter_Zone",4
43.822,"Info","Arena",6,"Exit_Zone",3
43.822,"Info","Arena",6,"Enter_Zone",4
43.855,"Info","Arena",6,"Exit_Zone",4
