"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
31.896,1.000,"TOTAL_DISTANCE_IN_ZONE",29.5,9.5,0.0,21.1,38.4,0.0,3.9,16.1,10.0,0.0,8.9,8.3,0.0,18.3,0.0,0.0,0.0,0.0,43.4,0.0,0.0,0.0,3.9,0.0,5.6,0.0,41.7,13.3,62.8,0.0,0.0,0.0
31.896,1.000,"TOTAL_ENTRIES_IN_ZONE",1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0
31.897,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.515,0.266,0.000,0.199,0.733,0.047,0.066,0.133,0.180,0.000,0.466,0.333,0.000,0.979,0.000,0.000,0.000,0.000,0.979,0.000,0.000,0.000,0.978,0.000,0.111,0.000,0.666,0.200,0.977,0.000,0.000,0.000
32.897,2.000,"TOTAL_DISTANCE_IN_ZONE",12.2,0.0,0.0,0.0,0.0,51.7,0.0,0.0,31.7,0.0,0.0,0.0,0.0,23.4,0.0,0.0,0.0,0.0,37.2,0.0,0.0,0.0,28.4,0.0,26.1,0.0,0.0,0.0,52.8,0.0,37.8,0.0
32.897,2.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
32.897,2.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.688,0.000,0.312,0.000
33.898,3.000,"TOTAL_DISTANCE_IN_ZONE",40.6,0.0,0.0,0.0,0.0,8.3,0.0,0.0,13.9,0.0,0.0,0.0,0.0,17.8,0.0,0.0,0.0,0.0,8.3,0.0,41.7,0.0,26.1,0.0,26.7,0.0,0.0,0.0,0.0,0.0,33.4,0.0
33.898,3.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
33.898,3.000,"TOTAL_TIME_SPENT_IN_ZONE",0.849,0.000,0.000,0.150,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.780,0.000,0.219,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
34.899,4.000,"TOTAL_DISTANCE_IN_ZONE",36.1,0.0,0.0,4.4,0.0,55.0,33.9,0.0,30.0,0.0,0.0,5.6,0.0,15.6,0.0,0.0,0.0,0.0,36.7,0.0,47.8,0.0,0.0,0.0,46.1,0.0,0.0,0.0,0.0,0.0,33.4,0.0
34.899,4.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
34.899,4.000,"TOTAL_TIME_SPENT_IN_ZONE",0.984,0.000,0.000,0.015,0.000,0.649,0.317,0.033,0.816,0.000,0.000,0.183,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
35.900,5.000,"TOTAL_DISTANCE_IN_ZONE",12.8,0.0,0.0,0.0,0.0,0.0,28.9,0.0,0.0,34.5,0.0,9.5,0.0,54.5,9.5,0.0,0.0,0.0,31.7,0.0,25.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0
