0.000,"Info","2023-06-13 13:05:02","Service 'ymazeinLT' : Execution start"
0.000,"Info","Subject Identification","6"
0.000,"Info","Apparatus","148"
0.000,"Info","Unit ID","EAB8E5"
"TIME","","","ARENA","ACTION","ZONE"
30.974,"Info","Arena",1,"Enter_Zone",1
30.974,"Info","Arena",2,"Enter_Zone",1
30.974,"Info","Arena",3,"Enter_Zone",3
30.974,"Info","Arena",4,"Enter_Zone",2
30.974,"Info","Arena",5,"Enter_Zone",1
30.974,"Info","Arena",6,"Enter_Zone",3
30.974,"Info","Arena",7,"Enter_Zone",3
30.974,"Info","Arena",8,"Enter_Zone",1
31.008,"Info","Arena",3,"Exit_Zone",3
31.008,"Info","Arena",3,"Enter_Zone",4
31.208,"Info","Arena",2,"Exit_Zone",1
31.208,"Info","Arena",2,"Enter_Zone",4
31.208,"Info","Arena",3,"Exit_Zone",4
31.208,"Info","Arena",3,"Enter_Zone",2
31.374,"Info","Arena",5,"Exit_Zone",1
31.374,"Info","Arena",5,"Enter_Zone",4
31.507,"Info","Arena",2,"Exit_Zone",4
31.507,"Info","Arena",2,"Enter_Zone",2
31.674,"Info","Arena",5,"Exit_Zone",4
31.674,"Info","Arena",5,"Enter_Zone",2
31.941,"Info","Arena",1,"Exit_Zone",1
31.941,"Info","Arena",1,"Enter_Zone",4
32.241,"Info","Arena",1,"Exit_Zone",4
32.241,"Info","Arena",1,"Enter_Zone",3
32.641,"Info","Arena",8,"Exit_Zone",1
32.641,"Info","Arena",8,"Enter_Zone",4
32.807,"Info","Arena",3,"Exit_Zone",2
32.807,"Info","Arena",3,"Enter_Zone",4
32.841,"Info","Arena",4,"Exit_Zone",2
32.841,"Info","Arena",4,"Enter_Zone",4
32.841,"Info","Arena",8,"Exit_Zone",4
32.841,"Info","Arena",8,"Enter_Zone",2
32.974,"Info","Arena",3,"Exit_Zone",4
32.974,"Info","Arena",3,"Enter_Zone",3
33.141,"Info","Arena",4,"Exit_Zone",4
33.141,"Info","Arena",4,"Enter_Zone",3
33.174,"Info","Arena",2,"Exit_Zone",2
33.174,"Info","Arena",2,"Enter_Zone",4
33.174,"Info","Arena",3,"Exit_Zone",3
33.174,"Info","Arena",3,"Enter_Zone",4
33.274,"Info","Arena",3,"Exit_Zone",4
33.274,"Info","Arena",3,"Enter_Zone",1
33.374,"Info","Arena",7,"Exit_Zone",3
33.374,"Info","Arena",7,"Enter_Zone",4
33.407,"Info","Arena",7,"Exit_Zone",4
33.407,"Info","Arena",7,"Enter_Zone",1
33.441,"Info","Arena",2,"Exit_Zone",4
33.441,"Info","Arena",2,"Enter_Zone",1
33.607,"Info","Arena",5,"Exit_Zone",2
33.607,"Info","Arena",5,"Enter_Zone",4
33.641,"Info","Arena",5,"Exit_Zone",4
33.641,"Info","Arena",5,"Enter_Zone",1
33.807,"Info","Arena",1,"Exit_Zone",3
33.807,"Info","Arena",1,"Enter_Zone",4
34.007,"Info","Arena",1,"Exit_Zone",4
34.007,"Info","Arena",1,"Enter_Zone",1
34.774,"Info","Arena",2,"Exit_Zone",1
34.774,"Info","Arena",2,"Enter_Zone",4
35.107,"Info","Arena",2,"Exit_Zone",4
35.107,"Info","Arena",2,"Enter_Zone",3
35.174,"Info","Arena",8,"Exit_Zone",2
35.174,"Info","Arena",8,"Enter_Zone",4
35.407,"Info","Arena",8,"Exit_Zone",4
35.407,"Info","Arena",8,"Enter_Zone",3
35.774,"Info","Arena",7,"Exit_Zone",1
35.774,"Info","Arena",7,"Enter_Zone",4
36.074,"Info","Arena",7,"Exit_Zone",4
36.074,"Info","Arena",7,"Enter_Zone",3
37.274,"Info","Arena",2,"Exit_Zone",3
37.274,"Info","Arena",2,"Enter_Zone",4
37.440,"Info","Arena",2,"Exit_Zone",4
37.440,"Info","Arena",2,"Enter_Zone",1
38.474,"Info","Arena",4,"Exit_Zone",3
38.474,"Info","Arena",4,"Enter_Zone",4
38.774,"Info","Arena",8,"Exit_Zone",3
38.774,"Info","Arena",8,"Enter_Zone",4
38.907,"Info","Arena",2,"Exit_Zone",1
38.907,"Info","Arena",2,"Enter_Zone",4
38.907,"Info","Arena",4,"Exit_Zone",4
38.907,"Info","Arena",4,"Enter_Zone",1
39.207,"Info","Arena",2,"Exit_Zone",4
39.207,"Info","Arena",2,"Enter_Zone",3
