"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"1","1","1",0,0,0,1,2,0,2,0,0,2,2,1,0,3,1,6,7,16,23,6,2,26.0869565217391,8.69565217391304,69.5652173913043,30.4347826086957
"2","1","2",8,6,5,7,7,15,7,5,6,6,18,4,5,7,5,4,62,56,118,12,33,10.1694915254237,27.9661016949153,47.4576271186441,52.5423728813559
"3","1","3",3,2,3,5,5,11,7,7,2,6,13,9,3,11,7,5,45,57,102,8,24,7.84313725490196,23.5294117647059,55.8823529411765,44.1176470588235
"4","1","4",4,3,5,4,4,7,7,4,3,6,6,7,4,6,4,1,39,39,78,5,13,6.41025641025641,16.6666666666667,50,50
"5","1","5",7,4,7,7,4,7,6,5,4,10,4,4,10,1,5,3,48,43,91,10,11,10.989010989011,12.0879120879121,47.2527472527473,52.7472527472527
"6","1","6",10,7,7,5,7,1,4,3,7,4,1,2,4,3,3,2,45,28,73,12,2,16.4383561643836,2.73972602739726,38.3561643835616,61.6438356164384
"7","10","1",1,1,0,4,1,5,6,10,1,3,5,12,3,13,10,13,29,62,91,14,10,15.3846153846154,10.989010989011,68.1318681318681,31.8681318681319
"8","10","2",0,1,1,1,1,7,6,9,1,1,7,14,1,15,10,31,27,82,109,31,14,28.4403669724771,12.8440366972477,75.2293577981651,24.7706422018349
"9","10","3",0,1,1,4,1,3,2,11,1,4,3,9,4,9,10,33,23,76,99,33,6,33.3333333333333,6.06060606060606,76.7676767676768,23.2323232323232
"10","10","4",0,0,0,0,0,1,0,4,0,0,2,4,0,5,5,57,7,74,81,57,3,70.3703703703704,3.7037037037037,91.358024691358,8.64197530864197
"11","10","5",0,0,1,1,0,5,1,5,0,2,3,5,2,3,4,35,13,57,70,35,8,50,11.4285714285714,81.4285714285714,18.5714285714286
"12","10","6",0,0,0,0,0,0,0,3,0,0,0,3,0,3,2,41,3,52,55,41,0,74.5454545454545,0,94.5454545454545,5.45454545454545
"13","11","1",12,10,12,4,12,7,6,2,10,6,7,4,4,5,2,2,66,42,108,14,14,12.962962962963,12.962962962963,38.8888888888889,61.1111111111111
"14","11","2",2,4,4,6,6,6,4,6,4,6,7,4,5,5,6,10,40,48,88,12,13,13.6363636363636,14.7727272727273,54.5454545454545,45.4545454545455
"15","11","3",15,3,5,2,5,8,4,4,4,4,8,6,3,6,5,3,49,39,88,18,16,20.4545454545455,18.1818181818182,44.3181818181818,55.6818181818182
"16","11","4",8,6,7,6,7,9,7,5,5,8,9,6,6,6,5,3,57,49,106,11,18,10.377358490566,16.9811320754717,46.2264150943396,53.7735849056604
"17","11","5",1,3,3,7,4,6,7,7,3,7,7,6,6,7,7,2,39,47,86,3,13,3.48837209302326,15.1162790697674,54.6511627906977,45.3488372093023
"18","11","6",0,2,4,2,2,11,6,5,2,4,9,9,4,7,5,8,32,51,83,8,20,9.63855421686747,24.0963855421687,61.4457831325301,38.5542168674699
"19","12","1",1,1,1,1,0,1,0,2,0,1,1,1,1,1,2,4,9,12,21,5,2,23.8095238095238,9.52380952380952,57.1428571428571,42.8571428571429
"20","12","2",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,2,5,7,1,0,14.2857142857143,0,71.4285714285714,28.5714285714286
"21","12","3",17,1,1,0,1,0,1,0,2,0,0,0,1,0,0,0,24,3,27,17,0,62.962962962963,0,11.1111111111111,88.8888888888889
"22","12","4",12,2,2,0,1,2,0,0,2,0,1,0,1,0,0,0,20,6,26,12,3,46.1538461538462,11.5384615384615,23.0769230769231,76.9230769230769
"23","12","5",5,1,0,0,1,1,0,0,1,0,2,0,0,1,0,0,10,5,15,5,3,33.3333333333333,20,33.3333333333333,66.6666666666667
"24","12","6",0,0,1,2,4,2,1,1,0,3,5,0,0,3,2,1,13,15,28,1,7,3.57142857142857,25,53.5714285714286,46.4285714285714
"25","13","1",0,1,1,3,3,9,7,4,1,3,11,8,0,10,4,7,29,46,75,7,20,9.33333333333333,26.6666666666667,61.3333333333333,38.6666666666667
"26","13","2",3,4,6,3,7,7,3,3,3,5,8,3,1,4,2,4,36,33,69,7,15,10.1449275362319,21.7391304347826,47.8260869565217,52.1739130434783
"27","13","3",4,5,7,3,4,6,6,6,5,5,2,9,6,5,6,9,42,49,91,13,8,14.2857142857143,8.79120879120879,53.8461538461538,46.1538461538462
"28","13","4",4,7,3,6,4,4,5,2,6,2,5,2,4,3,2,0,36,26,62,4,9,6.45161290322581,14.5161290322581,41.9354838709677,58.0645161290323
"29","13","5",2,4,2,4,2,2,2,3,3,2,2,1,4,1,3,2,23,19,42,4,4,9.52380952380952,9.52380952380952,45.2380952380952,54.7619047619048
"30","13","6",1,3,3,3,3,1,3,0,3,3,2,0,3,1,0,0,19,13,32,1,3,3.125,9.375,40.625,59.375
"31","14","1",7,5,10,1,8,10,3,1,5,6,8,3,3,1,1,0,48,27,75,7,18,9.33333333333333,24,36,64
"32","14","2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,25,75
"33","14","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,100,0
"34","14","4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,4,0,1,0,25,50,50
"35","14","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"36","14","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,100,0
"37","15","1",7,7,6,7,7,1,10,3,7,6,2,5,6,6,2,11,48,48,96,18,3,18.75,3.125,50,50
"38","15","2",15,7,4,6,3,10,7,3,7,3,8,4,7,3,3,4,56,41,97,19,18,19.5876288659794,18.5567010309278,42.2680412371134,57.7319587628866
"39","15","3",6,2,4,2,2,3,3,0,2,4,1,1,4,0,0,0,23,14,37,6,4,16.2162162162162,10.8108108108108,37.8378378378378,62.1621621621622
"40","15","4",0,3,4,3,6,1,2,4,3,4,3,3,1,4,4,3,24,27,51,3,4,5.88235294117647,7.84313725490196,52.9411764705882,47.0588235294118
"41","15","5",4,6,6,6,5,6,6,3,7,6,4,3,8,1,3,2,45,34,79,6,10,7.59493670886076,12.6582278481013,43.0379746835443,56.9620253164557
"42","15","6",3,5,9,4,8,9,8,1,5,8,7,5,6,3,1,2,49,38,87,5,16,5.74712643678161,18.3908045977011,43.6781609195402,56.3218390804598
"43","16","1",0,1,2,2,3,6,2,6,1,3,7,6,1,6,5,10,22,42,64,10,13,15.625,20.3125,65.625,34.375
"44","16","2",3,4,4,6,4,9,3,7,4,6,9,4,6,4,6,5,40,47,87,8,18,9.19540229885057,20.6896551724138,54.0229885057471,45.9770114942529
"45","16","3",4,3,6,1,3,8,4,4,3,3,5,7,3,5,4,0,34,32,66,4,13,6.06060606060606,19.6969696969697,48.4848484848485,51.5151515151515
"46","16","4",0,2,1,3,1,5,6,5,2,2,5,8,3,8,5,25,23,61,84,25,10,29.7619047619048,11.9047619047619,72.6190476190476,27.3809523809524
"47","16","5",0,1,4,2,3,7,5,4,1,5,6,7,3,6,4,3,28,36,64,3,13,4.6875,20.3125,56.25,43.75
"48","16","6",10,7,13,0,13,6,0,0,6,6,6,0,0,0,0,0,51,19,70,10,12,14.2857142857143,17.1428571428571,27.1428571428571,72.8571428571429
"49","17","1",0,0,1,2,1,8,4,4,0,3,9,6,2,7,4,20,22,52,74,20,17,27.027027027027,22.972972972973,70.2702702702703,29.7297297297297
"50","17","2",54,8,7,1,7,9,2,1,8,0,9,1,1,2,1,0,90,24,114,54,18,47.3684210526316,15.7894736842105,21.0526315789474,78.9473684210526
"51","17","3",36,12,11,3,8,10,6,0,12,1,7,4,5,1,0,0,87,32,119,36,17,30.2521008403361,14.2857142857143,26.890756302521,73.109243697479
"52","17","4",11,5,7,5,8,12,6,4,5,7,13,5,5,6,4,8,60,54,114,19,25,16.6666666666667,21.9298245614035,47.3684210526316,52.6315789473684
"53","17","5",2,6,5,2,6,1,3,3,6,1,2,4,1,5,3,3,29,27,56,5,3,8.92857142857143,5.35714285714286,48.2142857142857,51.7857142857143
"54","17","6",7,6,5,4,5,4,1,6,6,3,3,3,4,2,6,5,39,34,73,12,7,16.4383561643836,9.58904109589041,46.5753424657534,53.4246575342466
"55","18","1",0,1,4,4,4,16,5,12,1,7,16,12,4,12,11,15,46,81,127,15,32,11.8110236220472,25.1968503937008,63.7795275590551,36.2204724409449
"56","18","2",3,2,6,3,6,11,8,8,2,7,10,13,3,12,7,13,47,70,117,16,21,13.6752136752137,17.9487179487179,59.8290598290598,40.1709401709402
"57","18","3",10,4,5,4,5,16,9,3,4,5,16,8,4,8,3,8,57,58,115,18,32,15.6521739130435,27.8260869565217,50.4347826086956,49.5652173913044
"58","18","4",2,7,9,6,6,5,9,5,7,8,2,8,9,5,6,4,50,51,101,6,7,5.94059405940594,6.93069306930693,50.4950495049505,49.5049504950495
"59","18","5",8,4,6,4,5,9,2,6,4,6,8,4,4,3,6,4,45,41,86,12,17,13.953488372093,19.7674418604651,47.6744186046512,52.3255813953488
"60","18","6",3,5,8,2,6,18,3,2,5,5,16,3,3,1,2,1,48,38,86,4,34,4.65116279069767,39.5348837209302,44.1860465116279,55.8139534883721
"61","19","1",0,2,3,4,2,5,3,4,2,5,5,3,4,3,4,2,25,29,54,2,10,3.7037037037037,18.5185185185185,53.7037037037037,46.2962962962963
"62","19","2",5,5,5,3,5,6,2,7,5,3,5,6,4,5,7,15,40,51,91,20,11,21.978021978022,12.0879120879121,56.043956043956,43.956043956044
"63","19","3",7,5,4,4,6,3,3,2,5,3,5,2,2,4,2,0,35,25,60,7,8,11.6666666666667,13.3333333333333,41.6666666666667,58.3333333333333
"64","19","4",1,2,2,2,0,3,4,6,1,2,1,8,3,6,5,10,20,39,59,11,4,18.6440677966102,6.77966101694915,66.1016949152542,33.8983050847458
"65","19","5",2,2,2,2,1,3,3,3,1,2,3,4,2,4,3,4,20,24,44,6,6,13.6363636363636,13.6363636363636,54.5454545454545,45.4545454545455
"66","19","6",0,0,0,1,1,3,3,4,0,1,3,6,1,6,4,9,14,31,45,9,6,20,13.3333333333333,68.8888888888889,31.1111111111111
"67","2","1",8,9,16,5,15,14,6,6,9,12,13,6,7,5,6,2,81,61,142,10,27,7.04225352112676,19.0140845070423,42.9577464788732,57.0422535211268
"68","2","2",2,5,9,5,10,19,5,7,5,10,20,7,4,8,7,6,64,68,132,8,39,6.06060606060606,29.5454545454545,51.5151515151515,48.4848484848485
"69","2","3",6,4,4,2,2,5,3,0,4,2,4,1,3,0,0,0,28,15,43,6,9,13.953488372093,20.9302325581395,34.8837209302326,65.1162790697674
