"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
31.933,1.000,"TOTAL_DISTANCE_IN_ZONE",0.0,14.5,0.0,0.0,25.1,0.0,0.0,0.0,31.7,0.0,0.0,0.0,0.0,33.4,0.0,17.8,0.0,13.4,0.0,0.0,0.0,0.0,21.7,0.0,0.0,0.0,30.6,0.0,12.8,0.0,0.0,0.0
31.934,1.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
31.934,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.979,0.000,0.000,0.978,0.000,0.000,0.000,0.978,0.000,0.000,0.000,0.000,0.744,0.000,0.233,0.000,0.977,0.000,0.000,0.000,0.000,0.976,0.000,0.000,0.000,0.975,0.000,0.975,0.000,0.000,0.000
32.934,2.000,"TOTAL_DISTANCE_IN_ZONE",0.0,27.8,0.0,0.0,24.5,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,26.2,0.0,0.0,0.0,23.4,0.0,0.0,0.0,0.0,16.1,0.0,0.0,0.0,8.4,0.0,24.5,0.0,0.0,0.0
32.935,2.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
32.935,2.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000
33.935,3.000,"TOTAL_DISTANCE_IN_ZONE",0.0,22.3,0.0,0.0,27.8,0.0,0.0,0.0,29.5,0.0,0.0,0.0,0.0,52.3,0.0,0.0,0.0,36.2,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.9,0.0,15.6,0.0,0.0,0.0
33.936,3.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
33.936,3.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000
34.936,4.000,"TOTAL_DISTANCE_IN_ZONE",0.0,34.0,0.0,0.0,56.2,0.0,0.0,21.2,3.9,8.4,0.0,10.0,0.0,17.8,0.0,0.0,0.0,17.3,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0
34.937,4.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,2,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
34.937,4.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.667,0.000,0.000,0.333,0.252,0.414,0.000,0.333,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000
35.937,5.000,"TOTAL_DISTANCE_IN_ZONE",0.0,9.5,0.0,0.0,30.1,0.0,0.0,0.0,0.0,6.1,44.0,9.5,0.0,42.9,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,7.8,0.0,25.6,0.0,0.0,0.0
35.938,5.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
35.938,5.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.050,0.815,0.133,0.000,0.951,0.000,0.048,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000
36.938,6.000,"TOTAL_DISTANCE_IN_ZONE",0.0,7.8,0.0,0.0,47.9,0.0,0.0,0.0,0.0,0.0,25.6,0.0,45.1,0.0,0.0,8.4,0.0,18.4,0.0,0.0,0.0,0.0,45.1,26.2,0.0,0.0,30.6,0.0,37.3,0.0,0.0,0.0
36.938,6.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,2,1,0,0,1,0,2,0,0,1
36.939,6.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.982,0.000,0.000,0.017,0.000,0.000,1.000,0.000,0.783,0.000,0.000,0.217,0.000,1.000,0.000,0.000,0.000,0.000,0.667,0.333,0.000,0.000,1.000,0.000,0.800,0.000,0.000,0.199
37.939,7.000,"TOTAL_DISTANCE_IN_ZONE",0.0,17.8,0.0,0.0,31.2,0.0,0.0,17.3,0.0,0.0,55.1,0.0,5.6,24.5,0.0,15.6,0.0,16.7,0.0,0.0,0.0,0.0,35.1,0.0,0.0,0.0,22.8,0.0,34.0,0.0,0.0,0.0
37.939,7.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,1,0,2,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
37.939,7.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.818,0.033,0.000,0.148,0.000,0.000,1.000,0.000,0.116,0.517,0.000,0.366,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000
38.940,8.000,"TOTAL_DISTANCE_IN_ZONE",0.0,37.3,0.0,0.0,35.6,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,28.4,0.0,0.0,0.0,17.8,0.0,0.0,0.0,6.1,23.4,6.1,0.0,0.0,27.8,0.0,12.8,0.0,0.0,0.0
38.940,8.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0
38.940,8.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.083,0.782,0.133,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000
39.941,9.000,"TOTAL_DISTANCE_IN_ZONE",0.0,31.2,0.0,0.0,26.7,0.0,0.0,29.0,51.2,0.0,24.5,8.4,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,0.0,0.0,0.0,0.0,23.9,0.0,36.2,0.0,0.0,3.9
39.941,9.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,2,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
39.941,9.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.466,0.000,0.000,0.533,0.519,0.000,0.380,0.100,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.817,0.000,0.000,0.183
40.942,10.000,"TOTAL_DISTANCE_IN_ZONE",0.0,25.1,0.0,0.0,50.7,0.0,0.0,0.0,66.3,0.0,7.8,6.7,0.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,30.1,0.0,0.0,0.0,36.2,9.5
40.942,10.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
40.942,10.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.879,0.000,0.087,0.033,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.717,0.282
41.943,11.000,"TOTAL_DISTANCE_IN_ZONE",0.0,42.3,0.0,0.0,65.7,0.0,0.0,0.0,0.0,0.0,84.6,0.0,0.0,10.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,21.7,0.0,0.0,0.0,20.0,0.0
41.944,11.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
41.944,11.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000
