0.000,"Info","2023-06-06 11:52:18","Service 'ymaze_inLT' : Execution start"
0.000,"Info","Subject Identification","1"
0.000,"Info","Apparatus","139"
0.000,"Info","Unit ID","3A843F"
"TIME","","","ARENA","ACTION","ZONE"
30.950,"Info","Arena",1,"Enter_Zone",2
30.950,"Info","Arena",2,"Enter_Zone",1
30.950,"Info","Arena",3,"Enter_Zone",1
30.950,"Info","Arena",4,"Enter_Zone",4
30.950,"Info","Arena",5,"Enter_Zone",2
30.950,"Info","Arena",6,"Enter_Zone",3
30.950,"Info","Arena",7,"Enter_Zone",3
30.950,"Info","Arena",8,"Enter_Zone",1
31.183,"Info","Arena",4,"Exit_Zone",4
31.183,"Info","Arena",4,"Enter_Zone",2
34.183,"Info","Arena",3,"Exit_Zone",1
34.183,"Info","Arena",3,"Enter_Zone",4
34.416,"Info","Arena",2,"Exit_Zone",1
34.416,"Info","Arena",2,"Enter_Zone",4
34.516,"Info","Arena",3,"Exit_Zone",4
34.516,"Info","Arena",3,"Enter_Zone",2
34.750,"Info","Arena",2,"Exit_Zone",4
34.750,"Info","Arena",2,"Enter_Zone",1
34.983,"Info","Arena",3,"Exit_Zone",2
34.983,"Info","Arena",3,"Enter_Zone",4
35.116,"Info","Arena",3,"Exit_Zone",4
35.116,"Info","Arena",3,"Enter_Zone",3
35.883,"Info","Arena",4,"Exit_Zone",2
35.883,"Info","Arena",4,"Enter_Zone",4
36.149,"Info","Arena",4,"Exit_Zone",4
36.149,"Info","Arena",4,"Enter_Zone",1
36.249,"Info","Arena",6,"Exit_Zone",3
36.249,"Info","Arena",6,"Enter_Zone",4
36.583,"Info","Arena",6,"Exit_Zone",4
36.583,"Info","Arena",6,"Enter_Zone",3
36.583,"Info","Arena",8,"Exit_Zone",1
36.583,"Info","Arena",8,"Enter_Zone",4
36.783,"Info","Arena",8,"Exit_Zone",4
36.783,"Info","Arena",8,"Enter_Zone",1
36.916,"Info","Arena",2,"Exit_Zone",1
36.916,"Info","Arena",2,"Enter_Zone",4
36.983,"Info","Arena",2,"Exit_Zone",4
36.983,"Info","Arena",2,"Enter_Zone",2
37.016,"Info","Arena",2,"Exit_Zone",2
37.016,"Info","Arena",2,"Enter_Zone",4
37.049,"Info","Arena",4,"Exit_Zone",1
37.049,"Info","Arena",4,"Enter_Zone",4
